mmsi,iwrap_type_from_dataset,org_type_info_from_data,length_from_data_set,width,trips,signals,Speed_mean,Speed_median,Speed_min,Speed_max,Speed_std,ROT_mean,ROT_median,ROT_min,ROT_max,ROT_std,number_of_signals,date
245176000,General cargo ship,Cargo,90,12,4.0,62211.0,,,,,,,,,,,0.0,2019-06-24
538005553,Oil products tanker,Tanker,144,22,0.0,8257.0,,,,,,,,,,,0.0,2019-06-24
236039000,General cargo ship,Cargo,82,12,21.0,121388.0,,,,,,,,,,,0.0,2019-06-24
211223120,Other ship,Undefined,33,8,611.0,734304.0,6.343658904339086,8.1,0.1,11.3,4.469671451419472,26.869349328231614,6.866666666666669,3.552713678800501e-15,315.53,57.89648030714776,5969.0,2019-06-24
311045200,General cargo ship,Cargo,87,13,18.0,70790.0,,,,,,,,,,,0.0,2019-06-24
219005302,Fishing ship,Fishing,12,4,892.0,1444619.0,,,,,,,,,,,0.0,2019-06-24
211188000,Passenger ship,Passenger,141,24,99.0,4167266.0,12.7053323817292,14.1,0.1,17.5,3.8384225169758106,9.285250608599794,0.7426190476190584,3.552713678800501e-15,298.9166666666667,34.222376209428425,9808.0,2019-06-24
211543450,Passenger ship,Passenger,26,6,351.0,568060.0,6.641412213740458,6.9,0.1,8.2,1.2038313200401114,15.648613485280153,4.2666666666666515,0.08333333333333215,327.14000000000004,39.60415699892997,1048.0,2019-06-24
255805557,General cargo ship,Cargo,149,22,59.0,269372.0,,,,,,,,,,,0.0,2019-06-24
209223000,Oil products tanker,Tanker,93,13,11.0,76727.0,,,,,,,,,,,0.0,2019-06-24
265874000,Passenger ship,Passenger,177,26,262.0,1832717.0,13.985153391500141,14.7,0.1,18.4,3.5990123690765663,4.8712826044096555,0.1698484848484636,3.552713678800501e-15,343.08333333333337,29.68401780911708,7106.0,2019-06-24
246355000,General cargo ship,Cargo,80,9,113.0,99198.0,,,,,,,,,,,0.0,2019-06-24
211794540,Pleasure boat,Pleasure,11,7,1196.0,51216.0,,,,,,,,,,,0.0,2019-06-24
277504000,Passenger ship,Passenger,199,26,128.0,701054.0,,,,,,,,,,,0.0,2019-06-24
211265530,General cargo ship,Cargo,96,19,18.0,232199.0,,,,,,,,,,,0.0,2019-06-24
212519000,General cargo ship,Cargo,85,13,12.0,96737.0,,,,,,,,,,,0.0,2019-06-24
219007678,Other ship,Military,29,7,5.0,13725.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-06-24
305502000,General cargo ship,Cargo,88,13,14.0,59093.0,,,,,,,,,,,0.0,2019-06-24
244828000,Other ship,Undefined,123,14,4.0,30960.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-06-24
246125000,General cargo ship,Cargo,89,14,26.0,103144.0,,,,,,,,,,,0.0,2019-06-24
230630000,General cargo ship,Cargo,88,12,13.0,72089.0,,,,,,,,,,,0.0,2019-06-24
377739000,General cargo ship,Cargo,88,11,42.0,111009.0,,,,,,,,,,,0.0,2019-06-24
211727510,Passenger ship,Passenger,170,27,320.0,3701330.0,13.876477953671406,16.2,0.1,21.0,6.27205855983344,11.79929903723343,0.6300000000000523,2.842170943040401e-14,345.35,38.46529910721462,11181.0,2019-06-24
477021900,General cargo ship,Cargo,229,33,,9476.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-06-24
