mmsi,iwrap_type_from_dataset,org_type_info_from_data,length_from_data_set,width,trips,signals,Speed_mean,Speed_median,Speed_min,Speed_max,Speed_std,ROT_mean,ROT_median,ROT_min,ROT_max,ROT_std,number_of_signals,date
245176000,General cargo ship,Cargo,90,12,4.0,62211.0,,,,,,,,,,,0.0,2019-06-18
538005553,Oil products tanker,Tanker,144,22,0.0,8257.0,,,,,,,,,,,0.0,2019-06-18
236039000,General cargo ship,Cargo,82,12,21.0,121388.0,,,,,,,,,,,0.0,2019-06-18
211223120,Other ship,Undefined,33,8,611.0,734304.0,7.812424471299093,10.2,0.1,11.4,3.9812301035577207,30.387349839825823,11.760294117647078,0.00833333333326891,308.92499999999995,58.98324858170703,2648.0,2019-06-18
311045200,General cargo ship,Cargo,87,13,18.0,70790.0,,,,,,,,,,,0.0,2019-06-18
219005302,Fishing ship,Fishing,12,4,892.0,1444619.0,5.916589861751151,6.6,0.1,7.4,1.365960259300894,12.083981193209883,2.75,0.010909090909080987,235.22941176470587,43.08823726617863,651.0,2019-06-18
211188000,Passenger ship,Passenger,141,24,99.0,4167266.0,12.717936782853432,13.9,0.1,17.2,3.886431203804249,10.798833295519035,0.70000000000001,3.552713678800501e-15,328.0,39.907089466515295,9238.0,2019-06-18
211543450,Passenger ship,Passenger,26,6,351.0,568060.0,6.690654205607476,6.9,0.1,63.9,2.7755733864641394,23.145284090909094,3.791666666666657,5.684341886080802e-14,345.6,64.123869097454,535.0,2019-06-18
255805557,General cargo ship,Cargo,149,22,59.0,269372.0,,,,,,,,,,,0.0,2019-06-18
209223000,Oil products tanker,Tanker,93,13,11.0,76727.0,,,,,,,,,,,0.0,2019-06-18
265874000,Passenger ship,Passenger,177,26,262.0,1832717.0,15.57342501393793,15.8,12.6,16.5,0.7294469791231448,0.4728031600693475,0.13540404040405463,7.105427357601002e-15,11.54833333333329,1.3952158799503447,5381.0,2019-06-18
246355000,General cargo ship,Cargo,80,9,113.0,99198.0,,,,,,,,,,,0.0,2019-06-18
211794540,Pleasure boat,Pleasure,11,7,1196.0,51216.0,0.23703703703703702,0.1,0.1,2.4,0.49079852371741184,,,,,,27.0,2019-06-18
277504000,Passenger ship,Passenger,199,26,128.0,701054.0,,,,,,,,,,,0.0,2019-06-18
211265530,General cargo ship,Cargo,96,19,18.0,232199.0,,,,,,,,,,,0.0,2019-06-18
212519000,General cargo ship,Cargo,85,13,12.0,96737.0,,,,,,,,,,,0.0,2019-06-18
219007678,Other ship,Military,29,7,5.0,13725.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-06-18
305502000,General cargo ship,Cargo,88,13,14.0,59093.0,,,,,,,,,,,0.0,2019-06-18
244828000,Other ship,Undefined,123,14,4.0,30960.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-06-18
246125000,General cargo ship,Cargo,89,14,26.0,103144.0,,,,,,,,,,,0.0,2019-06-18
230630000,General cargo ship,Cargo,88,12,13.0,72089.0,,,,,,,,,,,0.0,2019-06-18
377739000,General cargo ship,Cargo,88,11,42.0,111009.0,,,,,,,,,,,0.0,2019-06-18
211727510,Passenger ship,Passenger,170,27,320.0,3701330.0,13.32924363569525,16.5,0.1,20.4,5.8049461880257915,10.121968760010335,0.40272727272727593,2.842170943040401e-14,343.2741071428571,34.87346227449037,10881.0,2019-06-18
