mmsi,iwrap_type_from_dataset,org_type_info_from_data,length_from_data_set,width,trips,signals,Speed_mean,Speed_median,Speed_min,Speed_max,Speed_std,ROT_mean,ROT_median,ROT_min,ROT_max,ROT_std,number_of_signals,date
245176000,General cargo ship,Cargo,90,12,4.0,62211.0,,,,,,,,,,,0.0,2019-07-09
538005553,Oil products tanker,Tanker,144,22,0.0,8257.0,,,,,,,,,,,0.0,2019-07-09
236039000,General cargo ship,Cargo,82,12,21.0,121388.0,,,,,,,,,,,0.0,2019-07-09
211223120,Other ship,Undefined,33,8,611.0,734304.0,7.416783216783217,9.8,0.1,11.3,4.019451875564696,35.151028857988415,11.370000000000012,2.842170943040401e-14,346.6192307692308,69.31073050584622,3432.0,2019-07-09
311045200,General cargo ship,Cargo,87,13,18.0,70790.0,,,,,,,,,,,0.0,2019-07-09
219005302,Fishing ship,Fishing,12,4,892.0,1444619.0,,,,,,,,,,,0.0,2019-07-09
211188000,Passenger ship,Passenger,141,24,99.0,4167266.0,12.660623556581987,14.2,0.1,16.0,4.084650479893585,12.326316128316128,0.9833333333333485,1.7763568394002505e-15,343.0,42.90560624643697,9526.0,2019-07-09
211543450,Passenger ship,Passenger,26,6,351.0,568060.0,6.954201680672268,7.2,0.3,7.9,1.2565621815554162,18.5645325203252,7.229166666666657,0.10000000000000142,294.3,41.10394438141525,238.0,2019-07-09
255805557,General cargo ship,Cargo,149,22,59.0,269372.0,,,,,,,,,,,0.0,2019-07-09
209223000,Oil products tanker,Tanker,93,13,11.0,76727.0,,,,,,,,,,,0.0,2019-07-09
265874000,Passenger ship,Passenger,177,26,262.0,1832717.0,17.34908518591383,17.5,13.5,18.1,0.8510848282694092,0.5511310689732749,0.18888888888885447,1.4210854715202004e-14,14.065384615384623,1.6667600734595027,5083.0,2019-07-09
246355000,General cargo ship,Cargo,80,9,113.0,99198.0,,,,,,,,,,,0.0,2019-07-09
211794540,Pleasure boat,Pleasure,11,7,1196.0,51216.0,,,,,,,,,,,0.0,2019-07-09
277504000,Passenger ship,Passenger,199,26,128.0,701054.0,,,,,,,,,,,0.0,2019-07-09
211265530,General cargo ship,Cargo,96,19,18.0,232199.0,,,,,,,,,,,0.0,2019-07-09
212519000,General cargo ship,Cargo,85,13,12.0,96737.0,,,,,,,,,,,0.0,2019-07-09
219007678,Other ship,Military,29,7,5.0,13725.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-07-09
305502000,General cargo ship,Cargo,88,13,14.0,59093.0,,,,,,,,,,,0.0,2019-07-09
244828000,Other ship,Undefined,123,14,4.0,30960.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-07-09
246125000,General cargo ship,Cargo,89,14,26.0,103144.0,,,,,,,,,,,0.0,2019-07-09
230630000,General cargo ship,Cargo,88,12,13.0,72089.0,,,,,,,,,,,0.0,2019-07-09
377739000,General cargo ship,Cargo,88,11,42.0,111009.0,,,,,,,,,,,0.0,2019-07-09
211727510,Passenger ship,Passenger,170,27,320.0,3701330.0,13.867651058869244,15.6,0.1,20.8,5.864247720001198,8.854034519794736,0.5268686868686956,2.842170943040401e-14,356.6285714285714,34.007094842475496,10294.0,2019-07-09
477021900,General cargo ship,Cargo,229,33,,9476.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-07-09
219000692,Pleasure boat,Sailing,14,4,2657.0,273433.0,0.10857142857142858,0.1,0.1,0.2,0.02840286409986905,,,,,,35.0,2019-07-09
265866000,Passenger ship,Passenger,220,30,109.0,1203285.0,15.273722450956647,17.1,0.1,18.8,3.8073056457954633,7.519926785145208,0.32222222222222285,7.105427357601002e-15,318.5,33.22015191100221,4129.0,2019-07-09
266262000,Passenger ship,Passenger,183,28,0.0,1429436.0,19.429687089140153,19.6,15.5,20.9,0.7908601925730987,0.723555086580086,0.2105555555556009,3.552713678800501e-15,9.795000000000016,1.782951499102234,3803.0,2019-07-09
211417590,Fishing ship,Fishing,42,10,52.0,289582.0,,,,,,,,,,,0.0,2019-07-09
265463000,Passenger ship,Passenger,200,28,589.0,2092052.0,14.516660148611656,15.4,0.1,17.0,3.0217174852712025,3.751815097092395,0.3499999999999943,2.842170943040401e-14,354.6333333333333,24.809950713515743,5114.0,2019-07-09
236354000,General cargo ship,Cargo,89,12,117.0,214251.0,,,,,,,,,,,0.0,2019-07-09
218816000,General cargo ship,Cargo,134,22,42.0,213047.0,,,,,,,,,,,0.0,2019-07-09
518435000,General cargo ship,Cargo,87,10,6.0,65280.0,,,,,,,,,,,0.0,2019-07-09
577167000,Other ship,Spare 1,51,9,1543.0,119706.0,0.1,0.1,0.1,0.1,,,,,,,1.0,2019-07-09
211333700,Oil products tanker,Tanker,68,12,54.0,113739.0,,,,,,,,,,,0.0,2019-07-09
211215210,Passenger ship,Passenger,49,8,502.0,839800.0,0.10121052631578947,0.1,0.1,0.2,0.010938474821644058,0.6425490196078695,2.842170943040401e-14,2.842170943040401e-14,22.549999999999983,3.333088669452309,1900.0,2019-07-09
211543850,Passenger ship,Passenger,33,8,343.0,285993.0,6.228571428571429,6.6,0.7,7.0,1.0912948133973235,30.65641025641027,3.2666666666667084,0.20000000000000284,340.45000000000005,94.65925893808041,35.0,2019-07-09
636017036,General cargo ship,Cargo,189,32,,10599.0,,,,,,,,,,,0.0,2019-07-09
