mmsi,iwrap_type_from_dataset,length_from_data_set,width,trips,signals,Speed_mean,Speed_median,Speed_min,Speed_max,Speed_std,ROT_mean,ROT_median,ROT_min,ROT_max,ROT_std,number_of_signals,date
245176000,General cargo ship,90,12,4.0,62211.0,7.581685797498715,7.9,0.1,10.8,1.740133855419168,2.1450325923358826,1.2076190476190334,5.684341886080802e-14,104.31666666666669,5.811370007979335,5837.0,2019-09-17
538005553,Oil products tanker,144,22,0.0,8257.0,7.581685797498715,7.9,0.1,10.8,1.740133855419168,2.1450325923358826,1.2076190476190334,5.684341886080802e-14,104.31666666666669,5.811370007979335,5837.0,2019-09-17
236039000,General cargo ship,82,12,21.0,121388.0,,,,,,,,,,,0.0,2019-09-17
211223120,Other ship,33,8,611.0,734304.0,6.855978260869565,8.9,0.1,11.2,4.152463361927063,40.62587253612927,15.525000000000006,0.01666666666667993,348.23896103896107,74.33332667765077,4968.0,2019-09-17
311045200,General cargo ship,87,13,18.0,70790.0,,,,,,,,,,,0.0,2019-09-17
219005302,Fishing ship,12,4,892.0,1444619.0,,,,,,,,,,,0.0,2019-09-17
211188000,Passenger ship,141,24,99.0,4167266.0,12.854893805309734,14.5,0.1,17.4,4.41054179895306,15.892420369994591,1.6040909090909174,3.552713678800501e-15,317.54285714285714,45.49608900663067,11300.0,2019-09-17
211543450,Passenger ship,26,6,351.0,568060.0,6.352941176470588,6.8,0.4,7.8,1.4976184830522332,23.908870967741933,10.849999999999994,0.75,292.9,54.0665187201438,170.0,2019-09-17
255805557,General cargo ship,149,22,59.0,269372.0,,,,,,,,,,,0.0,2019-09-17
209223000,Oil products tanker,93,13,11.0,76727.0,,,,,,,,,,,0.0,2019-09-17
265874000,Passenger ship,177,26,262.0,1832717.0,15.292711929420792,15.2,13.3,17.6,1.2699845443985986,0.5337373028756962,0.25,3.552713678800501e-15,19.062318840579707,1.4574981962122506,5214.0,2019-09-17
246355000,General cargo ship,80,9,113.0,99198.0,7.497272727272728,7.6,0.1,9.0,1.456761511275715,12.998429458740024,0.8333333333333712,7.105427357601002e-15,302.05476190476196,52.634151794127476,880.0,2019-09-17
211794540,Pleasure boat,11,7,1196.0,51216.0,,,,,,,,,,,0.0,2019-09-17
277504000,Passenger ship,199,26,128.0,701054.0,,,,,,,,,,,0.0,2019-09-17
211265530,General cargo ship,96,19,18.0,232199.0,,,,,,,,,,,0.0,2019-09-17
212519000,General cargo ship,85,13,12.0,96737.0,,,,,,,,,,,0.0,2019-09-17
219007678,Other ship,29,7,5.0,13725.0,,,,,,,,,,,0.0,2019-09-17
305502000,General cargo ship,88,13,14.0,59093.0,,,,,,,,,,,0.0,2019-09-17
244828000,Other ship,123,14,4.0,30960.0,,,,,,,,,,,0.0,2019-09-17
246125000,General cargo ship,89,14,26.0,103144.0,,,,,,,,,,,0.0,2019-09-17
230630000,General cargo ship,88,12,13.0,72089.0,,,,,,,,,,,0.0,2019-09-17
377739000,General cargo ship,88,11,42.0,111009.0,,,,,,,,,,,0.0,2019-09-17
211727510,Passenger ship,170,27,320.0,3701330.0,13.210512890589413,15.3,0.1,20.7,5.785599542295882,11.249656041897387,0.9145833333332689,2.842170943040401e-14,349.73333333333335,40.36836820495704,10977.0,2019-09-17
477021900,General cargo ship,229,33,,9476.0,13.210512890589413,15.3,0.1,20.7,5.785599542295882,11.249656041897387,0.9145833333332689,2.842170943040401e-14,349.73333333333335,40.36836820495704,10977.0,2019-09-17
219000692,Pleasure boat,14,4,2657.0,273433.0,0.15117056856187291,0.1,0.1,0.6,0.09317462678858676,,,,,,299.0,2019-09-17
265866000,Passenger ship,220,30,109.0,1203285.0,16.11276134427753,17.3,0.1,18.8,3.471405330227732,7.514491922181413,0.36000000000004206,2.842170943040401e-14,342.6,34.461117202999105,6457.0,2019-09-17
266262000,Passenger ship,183,28,0.0,1429436.0,16.68867409119563,17.0,13.4,19.0,1.1212682287658613,0.9998713852813862,0.3527777777777743,3.552713678800501e-15,15.06340579710141,2.1798008588123157,4759.0,2019-09-17
211417590,Fishing ship,42,10,52.0,289582.0,,,,,,,,,,,0.0,2019-09-17
265463000,Passenger ship,200,28,589.0,2092052.0,14.979885605338417,16.2,0.1,18.0,3.4766116208454183,7.397850225717198,0.4800000000000182,2.842170943040401e-14,318.3083333333333,31.643465040239874,5245.0,2019-09-17
236354000,General cargo ship,89,12,117.0,214251.0,,,,,,,,,,,0.0,2019-09-17
218816000,General cargo ship,134,22,42.0,213047.0,,,,,,,,,,,0.0,2019-09-17
518435000,General cargo ship,87,10,6.0,65280.0,,,,,,,,,,,0.0,2019-09-17
577167000,Other ship,51,9,1543.0,119706.0,,,,,,,,,,,0.0,2019-09-17
211333700,Oil products tanker,68,12,54.0,113739.0,,,,,,,,,,,0.0,2019-09-17
211215210,Passenger ship,49,8,502.0,839800.0,0.13930635838150285,0.1,0.1,0.3,0.057703974058349136,9.321428571428573,7.300000000000011,1.8000000000000114,25.799999999999983,11.647761894151905,173.0,2019-09-17
211543850,Passenger ship,33,8,343.0,285993.0,4.741558441558442,4.6,0.4,7.1,2.045299530846705,26.122988505747124,7.733333333333292,0.10000000000002274,343.3,71.49249892234859,77.0,2019-09-17
636017036,General cargo ship,189,32,,10599.0,4.741558441558442,4.6,0.4,7.1,2.045299530846705,26.122988505747124,7.733333333333292,0.10000000000002274,343.3,71.49249892234859,77.0,2019-09-17
211549170,Passenger ship,24,7,1072.0,502777.0,0.1,0.1,0.1,0.1,0.0,,,,,,2.0,2019-09-17
304877000,General cargo ship,112,15,52.0,133048.0,,,,,,,,,,,0.0,2019-09-17
244847000,General cargo ship,89,12,2.0,14532.0,,,,,,,,,,,0.0,2019-09-17
355524000,General cargo ship,229,32,,5715.0,,,,,,,,,,,0.0,2019-09-17
250005054,General cargo ship,133,16,3.0,22503.0,,,,,,,,,,,0.0,2019-09-17
211189000,Passenger ship,172,26,138.0,503247.0,12.622300036859565,14.0,0.1,18.0,3.692135709086337,8.33013973760727,0.7000000000000028,0.009090909090900823,353.3333333333333,34.58411687508948,2713.0,2019-09-17
230915000,General cargo ship,139,24,294.0,343010.0,,,,,,,,,,,0.0,2019-09-17
248659000,General cargo ship,195,32,,219308.0,,,,,,,,,,,0.0,2019-09-17
219083000,Oil products tanker,141,22,1.0,90398.0,,,,,,,,,,,0.0,2019-09-17
