mmsi,iwrap_type_from_dataset,org_type_info_from_data,length_from_data_set,width,trips,signals,Speed_mean,Speed_median,Speed_min,Speed_max,Speed_std,ROT_mean,ROT_median,ROT_min,ROT_max,ROT_std,number_of_signals,date
245176000,General cargo ship,Cargo,90,12,4.0,62211.0,,,,,,,,,,,0.0,2019-07-20
538005553,Oil products tanker,Tanker,144,22,0.0,8257.0,,,,,,,,,,,0.0,2019-07-20
236039000,General cargo ship,Cargo,82,12,21.0,121388.0,,,,,,,,,,,0.0,2019-07-20
211223120,Other ship,Undefined,33,8,611.0,734304.0,6.684084084084084,8.5,0.1,11.6,4.273240186689489,36.87300323174612,12.483333333333292,5.684341886080802e-14,349.25,69.92945861001685,3330.0,2019-07-20
311045200,General cargo ship,Cargo,87,13,18.0,70790.0,,,,,,,,,,,0.0,2019-07-20
219005302,Fishing ship,Fishing,12,4,892.0,1444619.0,,,,,,,,,,,0.0,2019-07-20
211188000,Passenger ship,Passenger,141,24,99.0,4167266.0,13.073672121734136,14.5,0.1,17.0,4.025137647108111,9.343650879282068,0.9880952380952266,8.881784197001252e-16,311.375,33.74024913800267,10449.0,2019-07-20
211543450,Passenger ship,Passenger,26,6,351.0,568060.0,6.784525547445255,7.2,0.2,8.5,1.2628034177709897,17.06183090024331,6.599999999999998,0.049999999999954525,348.95,44.9845149766298,685.0,2019-07-20
255805557,General cargo ship,Cargo,149,22,59.0,269372.0,10.362612899122249,14.1,0.1,14.8,5.8764562585938585,18.953138879070895,1.316666666666677,0.01666666666665151,343.0,49.93104250426457,7861.0,2019-07-20
209223000,Oil products tanker,Tanker,93,13,11.0,76727.0,,,,,,,,,,,0.0,2019-07-20
265874000,Passenger ship,Passenger,177,26,262.0,1832717.0,12.59260290024901,13.6,0.1,17.1,3.0545354798600375,3.0633310500282214,0.17357142857143515,8.881784197001252e-16,293.25,19.347930735244358,6827.0,2019-07-20
246355000,General cargo ship,Cargo,80,9,113.0,99198.0,7.827628032345014,8.4,0.1,9.0,1.8385633171737146,2.767738951695786,0.7726190476190489,0.002380952380960366,76.75000000000003,8.211556483510888,1484.0,2019-07-20
211794540,Pleasure boat,Pleasure,11,7,1196.0,51216.0,6.603496503496503,6.6,5.2,7.4,0.627134393509796,1.0335000000000003,0.5749999999999886,0.09999999999999432,11.349999999999994,2.047251413564082,143.0,2019-07-20
277504000,Passenger ship,Passenger,199,26,128.0,701054.0,,,,,,,,,,,0.0,2019-07-20
211265530,General cargo ship,Cargo,96,19,18.0,232199.0,,,,,,,,,,,0.0,2019-07-20
212519000,General cargo ship,Cargo,85,13,12.0,96737.0,,,,,,,,,,,0.0,2019-07-20
219007678,Other ship,Military,29,7,5.0,13725.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-07-20
305502000,General cargo ship,Cargo,88,13,14.0,59093.0,,,,,,,,,,,0.0,2019-07-20
244828000,Other ship,Undefined,123,14,4.0,30960.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-07-20
246125000,General cargo ship,Cargo,89,14,26.0,103144.0,,,,,,,,,,,0.0,2019-07-20
230630000,General cargo ship,Cargo,88,12,13.0,72089.0,,,,,,,,,,,0.0,2019-07-20
377739000,General cargo ship,Cargo,88,11,42.0,111009.0,,,,,,,,,,,0.0,2019-07-20
211727510,Passenger ship,Passenger,170,27,320.0,3701330.0,13.754936563960698,16.4,0.1,20.7,6.296639088255579,11.003279153749508,0.46999999999998465,2.842170943040401e-14,345.76666666666665,34.6011992634002,10483.0,2019-07-20
477021900,General cargo ship,Cargo,229,33,,9476.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-07-20
219000692,Pleasure boat,Sailing,14,4,2657.0,273433.0,0.13125,0.1,0.1,0.8,0.10749814446691529,,,,,,48.0,2019-07-20
265866000,Passenger ship,Passenger,220,30,109.0,1203285.0,,,,,,,,,,,0.0,2019-07-20
266262000,Passenger ship,Passenger,183,28,0.0,1429436.0,16.81239224137931,16.7,13.9,18.9,1.2638572238017178,0.6760769600769589,0.13737373737370717,3.552713678800501e-15,10.455000000000013,1.8286108031675414,4640.0,2019-07-20
211417590,Fishing ship,Fishing,42,10,52.0,289582.0,,,,,,,,,,,0.0,2019-07-20
265463000,Passenger ship,Passenger,200,28,589.0,2092052.0,14.526491092176608,16.0,0.1,17.3,3.51852230756852,5.38740404040404,0.4100000000000108,3.552713678800501e-15,350.57142857142856,29.283174906074645,5164.0,2019-07-20
236354000,General cargo ship,Cargo,89,12,117.0,214251.0,,,,,,,,,,,0.0,2019-07-20
