mmsi,iwrap_type_from_dataset,org_type_info_from_data,length_from_data_set,width,trips,signals,Speed_mean,Speed_median,Speed_min,Speed_max,Speed_std,ROT_mean,ROT_median,ROT_min,ROT_max,ROT_std,number_of_signals,date
245176000,General cargo ship,Cargo,90,12,4.0,62211.0,,,,,,,,,,,0.0,2019-06-01
538005553,Oil products tanker,Tanker,144,22,0.0,8257.0,,,,,,,,,,,0.0,2019-06-01
236039000,General cargo ship,Cargo,82,12,21.0,121388.0,,,,,,,,,,,0.0,2019-06-01
211223120,Other ship,Undefined,33,8,611.0,734304.0,6.45272849012387,7.3,0.1,11.4,4.181754185977165,34.86219920969211,11.788888888888886,0.012499999999988631,350.3,71.97376403028532,2987.0,2019-06-01
311045200,General cargo ship,Cargo,87,13,18.0,70790.0,,,,,,,,,,,0.0,2019-06-01
219005302,Fishing ship,Fishing,12,4,892.0,1444619.0,3.4767857142857146,3.9,0.1,6.7,2.4843566326007416,45.097736513352395,4.369841269841174,0.024025974025931873,318.87692307692305,88.32335661578426,2576.0,2019-06-01
211188000,Passenger ship,Passenger,141,24,99.0,4167266.0,12.825834774511108,14.2,0.1,16.9,3.7209939559293193,4.4046915649188385,0.7154761904761919,1.4210854715202004e-14,266.98333333333335,18.19452268663735,7517.0,2019-06-01
211543450,Passenger ship,Passenger,26,6,351.0,568060.0,6.7027397260273975,7.1,0.2,7.9,1.463547230279285,25.91080200501253,6.1749999999999545,0.09999999999999432,358.9,70.34472338135824,365.0,2019-06-01
255805557,General cargo ship,Cargo,149,22,59.0,269372.0,,,,,,,,,,,0.0,2019-06-01
209223000,Oil products tanker,Tanker,93,13,11.0,76727.0,,,,,,,,,,,0.0,2019-06-01
265874000,Passenger ship,Passenger,177,26,262.0,1832717.0,15.327607973421927,16.1,9.0,16.7,2.265784027811893,0.3874415629936142,0.15000000000000568,3.552713678800501e-15,11.620909090909102,1.1622751219986447,3010.0,2019-06-01
246355000,General cargo ship,Cargo,80,9,113.0,99198.0,,,,,,,,,,,0.0,2019-06-01
211794540,Pleasure boat,Pleasure,11,7,1196.0,51216.0,4.009823182711198,4.1,0.1,6.6,0.9129545401038047,7.161064425770308,2.599999999999997,0.049999999999954525,138.15000000000003,17.508045427741347,509.0,2019-06-01
277504000,Passenger ship,Passenger,199,26,128.0,701054.0,,,,,,,,,,,0.0,2019-06-01
211265530,General cargo ship,Cargo,96,19,18.0,232199.0,,,,,,,,,,,0.0,2019-06-01
212519000,General cargo ship,Cargo,85,13,12.0,96737.0,,,,,,,,,,,0.0,2019-06-01
219007678,Other ship,Military,29,7,5.0,13725.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-06-01
305502000,General cargo ship,Cargo,88,13,14.0,59093.0,,,,,,,,,,,0.0,2019-06-01
244828000,Other ship,Undefined,123,14,4.0,30960.0,,,,,,,,,,,0.0,2019-06-01
246125000,General cargo ship,Cargo,89,14,26.0,103144.0,,,,,,,,,,,0.0,2019-06-01
230630000,General cargo ship,Cargo,88,12,13.0,72089.0,,,,,,,,,,,0.0,2019-06-01
377739000,General cargo ship,Cargo,88,11,42.0,111009.0,,,,,,,,,,,0.0,2019-06-01
211727510,Passenger ship,Passenger,170,27,320.0,3701330.0,13.464234620886982,15.9,0.1,20.6,5.905194807505916,8.582819270465036,0.5087121212121275,2.842170943040401e-14,345.15333333333336,31.51980354107287,9786.0,2019-06-01
477021900,General cargo ship,Cargo,229,33,,9476.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-06-01
219000692,Pleasure boat,Sailing,14,4,2657.0,273433.0,4.143322475570033,5.1,0.1,6.8,2.0595495819807272,18.051706666666664,6.0,0.04999999999999716,297.7,43.5579417591752,307.0,2019-06-01
265866000,Passenger ship,Passenger,220,30,109.0,1203285.0,15.869090909090911,17.7,0.1,19.8,5.11947789288024,11.169887700300922,0.24999999999994316,2.842170943040401e-14,342.8266666666667,40.37614439736777,3135.0,2019-06-01
266262000,Passenger ship,Passenger,183,28,0.0,1429436.0,16.289530685920575,15.9,13.1,18.7,1.1520726642480965,0.7665776152099035,0.12777777777777644,3.552713678800501e-15,9.599999999999994,1.9155876821391662,4709.0,2019-06-01
211417590,Fishing ship,Fishing,42,10,52.0,289582.0,0.1,0.1,0.1,0.1,,,,,,,1.0,2019-06-01
265463000,Passenger ship,Passenger,200,28,589.0,2092052.0,14.397603651578548,15.6,0.1,17.3,3.384969681732022,4.887407279328885,0.3727272727272748,3.552713678800501e-15,347.50576923076926,25.74415224837659,5258.0,2019-06-01
236354000,General cargo ship,Cargo,89,12,117.0,214251.0,7.393146008403361,7.9,0.1,11.4,2.661771073141984,1.3851782553729466,0.28333333333333144,1.4210854715202004e-14,92.25952380952381,5.945361719708714,3808.0,2019-06-01
218816000,General cargo ship,Cargo,134,22,42.0,213047.0,,,,,,,,,,,0.0,2019-06-01
518435000,General cargo ship,Cargo,87,10,6.0,65280.0,9.365960533952409,9.4,8.3,10.2,0.3469113858287096,0.8245034233402571,0.36666666666666003,1.4210854715202004e-14,21.02820512820513,2.102048923779385,3446.0,2019-06-01
577167000,Other ship,Spare 1,51,9,1543.0,119706.0,0.10238095238095235,0.1,0.1,0.2,0.01543033499620919,,,,,,42.0,2019-06-01
211333700,Oil products tanker,Tanker,68,12,54.0,113739.0,,,,,,,,,,,0.0,2019-06-01
211215210,Passenger ship,Passenger,49,8,502.0,839800.0,5.520768094534713,7.7,0.1,10.6,4.341166883029302,10.771745860331173,0.38999999999998636,3.552713678800501e-15,283.53000000000003,37.782641467060245,3385.0,2019-06-01
211543850,Passenger ship,Passenger,33,8,343.0,285993.0,6.968181818181819,7.3,1.6,7.8,1.2357324273622636,6.387500000000003,5.549999999999983,0.1500000000000341,17.649999999999977,8.862430737186527,22.0,2019-06-01
636017036,General cargo ship,Cargo,189,32,,10599.0,,,,,,,,,,,0.0,2019-06-01
211549170,Passenger ship,Passenger,24,7,1072.0,502777.0,5.298795180722892,6.4,0.1,7.4,2.0942847699645326,32.70900520833334,6.741666666666674,5.684341886080802e-14,353.9,68.94831856178482,996.0,2019-06-01
304877000,General cargo ship,Cargo,112,15,52.0,133048.0,,,,,,,,,,,0.0,2019-06-01
244847000,General cargo ship,Cargo,89,12,2.0,14532.0,,,,,,,,,,,0.0,2019-06-01
355524000,General cargo ship,Cargo,229,32,,5715.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-06-01
250005054,General cargo ship,Cargo,133,16,3.0,22503.0,,,,,,,,,,,0.0,2019-06-01
211189000,Passenger ship,Passenger,172,26,138.0,503247.0,,,,,,,,,,,0.0,2019-06-01
230915000,General cargo ship,Cargo,139,24,294.0,343010.0,18.077409967260824,18.1,17.4,18.5,0.18204239049865084,0.8133445002791736,0.3999999999999986,0.009090909090907928,13.544444444444437,1.796145455457439,2749.0,2019-06-01
248659000,General cargo ship,Cargo,195,32,,219308.0,,,,,,,,,,,0.0,2019-06-01
219083000,Oil products tanker,Tanker,141,22,1.0,90398.0,,,,,,,,,,,0.0,2019-06-01
210925000,General cargo ship,Cargo,169,27,0.0,16292.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-06-01
305203000,General cargo ship,Cargo,82,12,30.0,229379.0,,,,,,,,,,,0.0,2019-06-01
538007390,Oil products tanker,Tanker,251,44,,49553.0,,,,,,,,,,,0.0,2019-06-01
211130000,Other ship,Law enforcement,69,14,140.0,2187898.0,4.789939637826961,4.8,4.4,5.2,0.18277486034700882,0.604743589743591,0.4000000000000057,0.008333333333339965,8.50666666666666,1.115518110093036,497.0,2019-06-01
211343680,Passenger ship,Passenger,191,30,167.0,1679595.0,15.457038391224863,15.1,0.1,18.8,2.91664517930088,3.892529946904948,0.1402380952381037,2.842170943040401e-14,348.46,26.52206670911665,4923.0,2019-06-01
219000431,Passenger ship,Passenger,141,26,226.0,4063541.0,12.616682304372302,14.3,0.1,17.9,4.406688701255851,12.820822374817807,0.9409090909090896,3.552713678800501e-15,342.7,42.240722357270215,10658.0,2019-06-01
211787800,Support ship,Pilot,15,5,3533.0,2123634.0,14.121390644753479,13.2,0.1,25.2,7.865059635359367,20.76418507608467,3.144444444444389,0.0017786561264756529,270.45000000000005,47.839693135083095,7910.0,2019-06-01
219147000,Passenger ship,Passenger,171,21,,807092.0,14.043716921215788,14.0,13.3,14.8,0.2693541147867024,0.4617179791974875,0.1618614718614566,7.105427357601002e-15,10.21499999999989,1.2111043443729614,6613.0,2019-06-01
219017325,Other ship,Other,22,8,1378.0,3777560.0,5.153165167095116,0.4,0.1,21.5,7.486965669261654,73.49410813597564,61.31714285714281,0.03222222222220239,352.1,98.96934785175605,6224.0,2019-06-01
211227550,Passenger ship,Passenger,28,6,188.0,1134074.0,6.6784235668789815,7.7,0.1,8.3,2.1244479533525693,11.863506794599909,1.043333333333294,0.004999999999967031,345.9922222222222,45.17278904225243,1256.0,2019-06-01
211228710,Other ship,Other,65,12,39.0,112901.0,,,,,,,,,,,0.0,2019-06-01
566915000,Oil products tanker,Tanker,183,32,,10123.0,,,,,,,,,,,0.0,2019-06-01
305506000,General cargo ship,Cargo,161,25,5.0,31200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-06-01
211223780,Support ship,Tug,28,9,624.0,1143224.0,2.8118644067796605,1.8,0.1,9.3,2.5235529308411397,35.506514324398225,9.900000000000006,0.01666666666667993,295.9940476190477,67.9119442942917,2891.0,2019-06-01
212204000,General cargo ship,Cargo,100,20,28.0,138840.0,,,,,,,,,,,0.0,2019-06-01
211110430,Pleasure boat,Sailing,33,6,17.0,39657.0,,,,,,,,,,,0.0,2019-06-01
219423000,Passenger ship,Passenger,170,27,8.0,4070393.0,13.48474216380182,16.1,0.1,20.5,5.879539651155293,20.40029154983366,0.45999999999997954,2.842170943040401e-14,348.7333333333333,57.60828203474489,9890.0,2019-06-01
211292150,Other ship,Other,20,6,237.0,78942.0,,,,,,,,,,,0.0,2019-06-01
219000429,Passenger ship,Passenger,141,26,15.0,4047213.0,12.933668294515403,14.8,0.1,16.8,4.512202337743164,14.36673627356565,1.048571428571428,2.842170943040401e-14,312.5,45.29125928039663,10648.0,2019-06-01
354456000,General cargo ship,Cargo,190,32,,6641.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-06-01
244130689,General cargo ship,Cargo,195,26,,326683.0,16.792336103416435,16.6,15.6,20.0,0.791663486524966,0.8932744903172902,0.1999999999999602,2.842170943040401e-14,11.091503267973877,2.220472826416077,2166.0,2019-06-01
211222790,Support ship,Pilot,15,4,247.0,300685.0,,,,,,,,,,,0.0,2019-06-01
219081000,Oil products tanker,Tanker,141,22,14.0,91931.0,,,,,,,,,,,0.0,2019-06-01
211243240,Fishing ship,Fishing,26,7,304.0,106440.0,,,,,,,,,,,0.0,2019-06-01
211224660,Support ship,Tug,15,5,117.0,97726.0,,,,,,,,,,,0.0,2019-06-01
372030000,General cargo ship,Cargo,92,11,,12206.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-06-01
211190000,Passenger ship,Passenger,142,24,23.0,3845233.0,12.51282521861168,14.2,0.1,16.8,4.638441195794551,19.577342021562913,1.3166666666666629,2.842170943040401e-14,344.2,55.227535343596074,9263.0,2019-06-01
209325000,General cargo ship,Cargo,88,13,54.0,193764.0,9.303645320197043,9.3,8.6,10.1,0.3320211746845475,0.826623439000961,0.2049999999999983,7.105427357601002e-15,24.739047619047618,2.392717065153005,2030.0,2019-06-01
249517000,General cargo ship,Cargo,185,31,,11408.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-06-01
212694000,General cargo ship,Cargo,83,13,43.0,97149.0,,,,,,,,,,,0.0,2019-06-01
219007679,Other ship,Military,29,7,11.0,13068.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-06-01
211638130,Other ship,Other,49,10,738.0,409276.0,0.10013860013860014,0.1,0.1,0.2,0.0037209677998156806,3.475322506157636,2.110000000000028,5.684341886080802e-14,73.36666666666669,6.011764780677298,2886.0,2019-06-01
245871000,General cargo ship,Cargo,95,13,13.0,50335.0,,,,,,,,,,,0.0,2019-06-01
219022256,Support ship,Pilot,20,6,1425.0,4820114.0,20.23766912088604,22.7,0.1,25.2,6.207232384436833,16.611089195433834,1.678924731182775,0.001111111111072205,319.55428571428564,44.012137970913905,15891.0,2019-06-01
353977000,General cargo ship,Cargo,143,22,,6384.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-06-01
211590700,Passenger ship,Passenger,25,8,2818.0,464640.0,4.240978593272171,4.7,0.1,8.5,3.1287947266649803,39.986656661585464,8.323232323232318,0.013333333333349628,336.1628205128204,77.23273504646674,2616.0,2019-06-01
211288480,Support ship,Tug,27,10,276.0,711300.0,,,,,,,,,,,0.0,2019-06-01
244679000,Pleasure boat,Sailing,30,6,369.0,105653.0,,,,,,,,,,,0.0,2019-06-01
309807000,General cargo ship,Cargo,90,13,3.0,48798.0,,,,,,,,,,,0.0,2019-06-01
231355000,General cargo ship,Cargo,138,22,0.0,10718.0,,,,,,,,,,,0.0,2019-06-01
215193000,Oil products tanker,Tanker,183,32,,6706.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-06-01
211216490,Support ship,Tug,29,8,2972.0,566614.0,4.286107290233837,4.5,0.1,8.9,2.3006436048935117,46.692152917505034,9.441666666666677,0.09999999999999964,348.5,90.28798383275007,727.0,2019-06-01
219000737,Passenger ship,Passenger,80,12,254.0,3645764.0,5.387312625560192,5.7,0.1,12.4,5.062119348431833,74.81564650932488,53.666666666666686,1.7763568394002505e-15,348.58078431372553,105.03013952664392,6471.0,2019-06-01
218367000,Fishing ship,Fishing,24,8,1011.0,530444.0,,,,,,,,,,,0.0,2019-06-01
305661000,General cargo ship,Cargo,82,12,179.0,127248.0,7.110996208204067,7.5,0.1,9.7,1.9528899205305343,1.8832790859933735,0.3499999999999943,1.4210854715202004e-14,82.80000000000001,6.902237456821764,2901.0,2019-06-01
230204000,General cargo ship,Cargo,122,20,27.0,277611.0,,,,,,,,,,,0.0,2019-06-01
219590000,Other ship,Other,84,18,401.0,332748.0,,,,,,,,,,,0.0,2019-06-01
211235220,Other ship,SAR,23,6,240.0,248153.0,,,,,,,,,,,0.0,2019-06-01
305426000,General cargo ship,Cargo,176,26,2.0,63178.0,,,,,,,,,,,0.0,2019-06-01
245405000,Oil products tanker,Tanker,110,14,27.0,129742.0,,,,,,,,,,,0.0,2019-06-01
211549160,Passenger ship,Passenger,24,6,985.0,174851.0,6.035958005249343,6.8,0.1,7.7,1.8035909906044925,33.6777559912854,11.200000000000045,0.19999999999998863,354.95000000000005,72.23801992514723,381.0,2019-06-01
212787000,General cargo ship,Cargo,153,24,38.0,315802.0,12.981167477414873,15.0,0.1,17.5,5.087277187107919,7.272282670342371,1.0025641025640972,1.4210854715202004e-14,228.6,28.213855201023247,1439.0,2019-06-01
218601000,Other ship,Other,57,11,112.0,1242641.0,,,,,,,,,,,0.0,2019-06-01
211558470,Passenger ship,Passenger,22,5,285.0,167699.0,5.4552278820375335,6.1,0.2,6.8,1.5126903200529156,13.763214285714287,3.9000000000000057,0.09999999999999432,286.15,35.22318958974268,373.0,2019-06-01
211356520,Other ship,Law enforcement,26,6,488.0,412822.0,9.029345372460497,9.5,0.1,21.8,4.9413653075950865,19.224458815923658,1.3495238095238165,0.0023809523809461552,297.22727272727275,48.84084229440644,2658.0,2019-06-01
211377940,Passenger ship,Passenger,26,7,231.0,35469.0,6.562258064516129,6.9,0.2,9.0,1.168059851498341,38.64724188790561,6.299999999999997,0.10000000000002274,323.2,82.76856017729773,310.0,2019-06-01
211771340,Passenger ship,Passenger,28,8,422.0,503856.0,5.634241245136187,6.4,0.1,7.9,2.2177362799031006,20.947673096883623,6.974999999999994,0.09999999999999432,298.8,52.042537315292385,257.0,2019-06-01
212172000,General cargo ship,Cargo,100,20,52.0,273579.0,,,,,,,,,,,0.0,2019-06-01
211231260,Other ship,Undefined,24,6,2209.0,653074.0,3.1681177976952624,0.6,0.1,8.6,3.3814122689074173,26.98718681318681,7.420000000000002,0.03999999999999915,340.67999999999995,60.15988942371098,2343.0,2019-06-01
211223180,Other ship,Reserved,24,7,14.0,64166.0,,,,,,,,,,,0.0,2019-06-01
211611070,Support ship,Tug,28,8,2348.0,1951740.0,3.4932416502946952,2.6,0.1,11.3,3.042310633760091,21.19818303953283,6.409411764705871,2.842170943040401e-14,321.65666666666664,46.59140637459737,2545.0,2019-06-01
235101881,Fast ferry,HSC,18,6,596.0,698834.0,0.1,0.1,0.1,0.1,0.0,,,,,,11.0,2019-06-01
211533590,Support ship,Pilot,17,6,486.0,840241.0,7.450904033379695,0.8,0.1,21.9,8.710587413314768,24.799759317904623,7.1250000000000036,2.842170943040401e-14,337.59999999999997,51.425379928167644,7909.0,2019-06-01
211177410,General cargo ship,Cargo,95,10,36.0,18365.0,,,,,,,,,,,0.0,2019-06-01
211614010,Support ship,Tug,20,6,98.0,79094.0,,,,,,,,,,,0.0,2019-06-01
211128920,Pleasure boat,Sailing,15,5,530.0,42003.0,,,,,,,,,,,0.0,2019-06-01
219007538,Support ship,Towing,13,4,363.0,103539.0,1.2451492537313436,0.75,0.1,15.1,1.7219269908766612,104.27278911564628,81.05000000000001,0.29999999999999716,359.4,135.62650110517683,268.0,2019-06-01
477592600,General cargo ship,Cargo,180,28,109.0,15171.0,,,,,,,,,,,0.0,2019-06-01
305978000,General cargo ship,Cargo,158,23,53.0,285139.0,,,,,,,,,,,0.0,2019-06-01
219018272,Oil products tanker,Tanker,115,17,5.0,83908.0,,,,,,,,,,,0.0,2019-06-01
219001859,Support ship,Tug,25,7,4.0,34678.0,,,,,,,,,,,0.0,2019-06-01
211338680,Other ship,Other,33,9,113.0,97630.0,,,,,,,,,,,0.0,2019-06-01
304010160,General cargo ship,Cargo,90,13,40.0,27571.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-06-01
211651920,Other ship,Undefined,40,10,1881.0,473611.0,,,,,,,,,,,0.0,2019-06-01
229849000,General cargo ship,Cargo,90,13,78.0,51471.0,,,,,,,,,,,0.0,2019-06-01
353047000,General cargo ship,Cargo,160,26,108.0,29884.0,,,,,,,,,,,0.0,2019-06-01
