mmsi,iwrap_type_from_dataset,org_type_info_from_data,length_from_data_set,width,trips,signals,Speed_mean,Speed_median,Speed_min,Speed_max,Speed_std,ROT_mean,ROT_median,ROT_min,ROT_max,ROT_std,number_of_signals,date
245176000,General cargo ship,Cargo,90,12,4.0,62211.0,,,,,,,,,,,0.0,2019-07-21
538005553,Oil products tanker,Tanker,144,22,0.0,8257.0,,,,,,,,,,,0.0,2019-07-21
236039000,General cargo ship,Cargo,82,12,21.0,121388.0,,,,,,,,,,,0.0,2019-07-21
211223120,Other ship,Undefined,33,8,611.0,734304.0,6.997341977309562,9.3,0.1,11.5,4.161162312533561,33.47946653225971,11.509999999999994,5.684341886080802e-14,297.1,64.52896643352372,3085.0,2019-07-21
311045200,General cargo ship,Cargo,87,13,18.0,70790.0,,,,,,,,,,,0.0,2019-07-21
219005302,Fishing ship,Fishing,12,4,892.0,1444619.0,,,,,,,,,,,0.0,2019-07-21
211188000,Passenger ship,Passenger,141,24,99.0,4167266.0,12.910272049569173,14.3,0.1,17.9,4.282832808816457,10.428755509482414,1.033333333333335,3.552713678800501e-15,345.4,36.76275866771228,10329.0,2019-07-21
211543450,Passenger ship,Passenger,26,6,351.0,568060.0,6.514673913043477,6.9,0.1,7.7,1.2744617508630787,17.373997584541062,7.4,0.04999999999999716,239.73333333333335,38.91412957279008,368.0,2019-07-21
255805557,General cargo ship,Cargo,149,22,59.0,269372.0,,,,,,,,,,,0.0,2019-07-21
209223000,Oil products tanker,Tanker,93,13,11.0,76727.0,,,,,,,,,,,0.0,2019-07-21
265874000,Passenger ship,Passenger,177,26,262.0,1832717.0,13.843228056578182,15.5,0.1,18.1,3.8166146831513896,5.8469493474304155,0.1800000000000015,3.552713678800501e-15,350.0039130434783,31.887568605798435,5161.0,2019-07-21
246355000,General cargo ship,Cargo,80,9,113.0,99198.0,8.105622369212266,8.1,7.2,9.6,0.31906105748701297,0.7562901950448082,0.33988095238095184,7.105427357601002e-15,10.56666666666667,1.4711888881798636,3326.0,2019-07-21
211794540,Pleasure boat,Pleasure,11,7,1196.0,51216.0,,,,,,,,,,,0.0,2019-07-21
277504000,Passenger ship,Passenger,199,26,128.0,701054.0,,,,,,,,,,,0.0,2019-07-21
211265530,General cargo ship,Cargo,96,19,18.0,232199.0,,,,,,,,,,,0.0,2019-07-21
212519000,General cargo ship,Cargo,85,13,12.0,96737.0,,,,,,,,,,,0.0,2019-07-21
219007678,Other ship,Military,29,7,5.0,13725.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-07-21
305502000,General cargo ship,Cargo,88,13,14.0,59093.0,,,,,,,,,,,0.0,2019-07-21
244828000,Other ship,Undefined,123,14,4.0,30960.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-07-21
246125000,General cargo ship,Cargo,89,14,26.0,103144.0,,,,,,,,,,,0.0,2019-07-21
230630000,General cargo ship,Cargo,88,12,13.0,72089.0,,,,,,,,,,,0.0,2019-07-21
377739000,General cargo ship,Cargo,88,11,42.0,111009.0,,,,,,,,,,,0.0,2019-07-21
211727510,Passenger ship,Passenger,170,27,320.0,3701330.0,13.37568712442124,16.2,0.1,20.8,6.200929213558026,10.638045827955745,0.6495454545454038,2.842170943040401e-14,348.0,36.481104334856326,10151.0,2019-07-21
477021900,General cargo ship,Cargo,229,33,,9476.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-07-21
219000692,Pleasure boat,Sailing,14,4,2657.0,273433.0,0.1345549738219895,0.1,0.1,0.4,0.06927964585932905,,,,,,191.0,2019-07-21
265866000,Passenger ship,Passenger,220,30,109.0,1203285.0,13.293560606060606,13.3,12.6,13.7,0.24359600316334093,0.2249073064340248,0.15000000000000568,1.4210854715202004e-14,1.9733333333333292,0.37019530796403965,792.0,2019-07-21
266262000,Passenger ship,Passenger,183,28,0.0,1429436.0,16.028137356919874,15.8,13.9,18.8,1.3255900473507614,0.6175622656648021,0.11999999999999744,3.552713678800501e-15,8.735454545454544,1.6717623443690284,4805.0,2019-07-21
211417590,Fishing ship,Fishing,42,10,52.0,289582.0,,,,,,,,,,,0.0,2019-07-21
265463000,Passenger ship,Passenger,200,28,589.0,2092052.0,12.906299212598425,13.5,0.1,16.3,3.511476903886382,3.9985730017209864,0.27363636363637056,2.842170943040401e-14,353.38333333333344,28.689761912091626,4572.0,2019-07-21
236354000,General cargo ship,Cargo,89,12,117.0,214251.0,,,,,,,,,,,0.0,2019-07-21
218816000,General cargo ship,Cargo,134,22,42.0,213047.0,,,,,,,,,,,0.0,2019-07-21
518435000,General cargo ship,Cargo,87,10,6.0,65280.0,,,,,,,,,,,0.0,2019-07-21
577167000,Other ship,Spare 1,51,9,1543.0,119706.0,0.1125,0.1,0.1,0.2,0.03378319623460881,,,,,,24.0,2019-07-21
211333700,Oil products tanker,Tanker,68,12,54.0,113739.0,,,,,,,,,,,0.0,2019-07-21
211215210,Passenger ship,Passenger,49,8,502.0,839800.0,6.669271523178809,7.8,0.1,10.2,3.0319253362682757,14.50422997835498,1.4000000000000057,1.4210854715202004e-14,293.5928571428572,45.32015236494805,2265.0,2019-07-21
211543850,Passenger ship,Passenger,33,8,343.0,285993.0,7.079999999999998,7.1,6.6,7.4,0.18205179796656,6.675000000000011,5.050000000000011,0.6999999999999886,15.900000000000034,10.250325198093329,15.0,2019-07-21
636017036,General cargo ship,Cargo,189,32,,10599.0,,,,,,,,,,,0.0,2019-07-21
211549170,Passenger ship,Passenger,24,7,1072.0,502777.0,5.983210784313726,6.6,0.1,7.5,1.8137443856893816,31.863245614035087,10.899999999999999,0.06666666666666288,349.7,64.51026779125986,816.0,2019-07-21
304877000,General cargo ship,Cargo,112,15,52.0,133048.0,,,,,,,,,,,0.0,2019-07-21
244847000,General cargo ship,Cargo,89,12,2.0,14532.0,,,,,,,,,,,0.0,2019-07-21
355524000,General cargo ship,Cargo,229,32,,5715.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-07-21
250005054,General cargo ship,Cargo,133,16,3.0,22503.0,,,,,,,,,,,0.0,2019-07-21
211189000,Passenger ship,Passenger,172,26,138.0,503247.0,,,,,,,,,,,0.0,2019-07-21
230915000,General cargo ship,Cargo,139,24,294.0,343010.0,,,,,,,,,,,0.0,2019-07-21
248659000,General cargo ship,Cargo,195,32,,219308.0,,,,,,,,,,,0.0,2019-07-21
219083000,Oil products tanker,Tanker,141,22,1.0,90398.0,,,,,,,,,,,0.0,2019-07-21
210925000,General cargo ship,Cargo,169,27,0.0,16292.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-07-21
305203000,General cargo ship,Cargo,82,12,30.0,229379.0,,,,,,,,,,,0.0,2019-07-21
538007390,Oil products tanker,Tanker,251,44,,49553.0,,,,,,,,,,,0.0,2019-07-21
211130000,Other ship,Law enforcement,69,14,140.0,2187898.0,3.4516871987145157,1.6,0.1,12.4,3.7000189805490997,12.927902717333838,1.9833333333333485,2.842170943040401e-14,288.41999999999996,35.77745876498262,5601.0,2019-07-21
211343680,Passenger ship,Passenger,191,30,167.0,1679595.0,14.577184775675102,15.7,12.6,16.0,1.3927901124762936,0.603429482175384,0.2500000000000284,5.684341886080802e-14,9.123333333333328,1.338809510643878,4703.0,2019-07-21
219000431,Passenger ship,Passenger,141,26,226.0,4063541.0,12.535733280803704,13.8,0.1,18.8,4.803670655829083,15.020136949989341,1.067857142857143,3.552713678800501e-15,337.2,48.46805811542692,10153.0,2019-07-21
211787800,Support ship,Pilot,15,5,3533.0,2123634.0,11.837186052182394,9.6,0.1,27.3,7.298753037987621,23.313247404689967,3.873080808080843,0.012693498451966434,351.1700000000001,52.09950892676313,8202.0,2019-07-21
219147000,Passenger ship,Passenger,171,21,,807092.0,14.161406619385343,14.2,13.8,14.5,0.1455222700270983,0.2991208112874822,0.11720959595960778,2.842170943040401e-14,10.806428571428597,0.9673174968044025,1692.0,2019-07-21
219017325,Other ship,Other,22,8,1378.0,3777560.0,2.679944244014431,0.5,0.1,20.4,4.791945178071353,59.925755120722165,44.92691819674572,0.0047619047618923105,325.29999999999995,82.19226146670995,6098.0,2019-07-21
211227550,Passenger ship,Passenger,28,6,188.0,1134074.0,2.2298470442331544,0.1,0.1,8.6,3.413606128482927,82.64990765152581,67.4,0.016666666666669272,351.54999999999995,111.14317916116437,2419.0,2019-07-21
