mmsi,iwrap_type_from_dataset,length_from_data_set,width,trips,signals,Speed_mean,Speed_median,Speed_min,Speed_max,Speed_std,ROT_mean,ROT_median,ROT_min,ROT_max,ROT_std,number_of_signals,date
245176000,General cargo ship,90,12,4.0,62211.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-09-25
538005553,Oil products tanker,144,22,0.0,8257.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-09-25
236039000,General cargo ship,82,12,21.0,121388.0,,,,,,,,,,,0.0,2019-09-25
211223120,Other ship,33,8,611.0,734304.0,7.134743875278397,9.0,0.1,11.3,3.7276631684064383,33.83537974830144,11.049999999999983,7.105427357601002e-15,317.2,67.2396415309234,2694.0,2019-09-25
311045200,General cargo ship,87,13,18.0,70790.0,,,,,,,,,,,0.0,2019-09-25
219005302,Fishing ship,12,4,892.0,1444619.0,,,,,,,,,,,0.0,2019-09-25
211188000,Passenger ship,141,24,99.0,4167266.0,12.914700443786984,14.7,0.1,17.3,4.446736637677918,12.44416398675606,1.0833333333333144,3.552713678800501e-15,295.1,39.61783953981421,10816.0,2019-09-25
211543450,Passenger ship,26,6,351.0,568060.0,6.452706552706553,7.1,0.3,8.0,1.7042257804602976,19.80644257703081,6.300000000000011,0.13333333333332575,298.20000000000005,44.97659552564057,351.0,2019-09-25
255805557,General cargo ship,149,22,59.0,269372.0,,,,,,,,,,,0.0,2019-09-25
209223000,Oil products tanker,93,13,11.0,76727.0,,,,,,,,,,,0.0,2019-09-25
265874000,Passenger ship,177,26,262.0,1832717.0,14.356597727934751,14.8,0.1,16.3,2.346366179758734,2.2796783517016577,0.17590909090908724,7.105427357601002e-15,281.08,17.168626951139743,6866.0,2019-09-25
246355000,General cargo ship,80,9,113.0,99198.0,,,,,,,,,,,0.0,2019-09-25
211794540,Pleasure boat,11,7,1196.0,51216.0,0.09999999999999999,0.1,0.1,0.1,1.5202354861220293e-17,,,,,,6.0,2019-09-25
277504000,Passenger ship,199,26,128.0,701054.0,,,,,,,,,,,0.0,2019-09-25
211265530,General cargo ship,96,19,18.0,232199.0,,,,,,,,,,,0.0,2019-09-25
212519000,General cargo ship,85,13,12.0,96737.0,,,,,,,,,,,0.0,2019-09-25
219007678,Other ship,29,7,5.0,13725.0,,,,,,,,,,,0.0,2019-09-25
305502000,General cargo ship,88,13,14.0,59093.0,,,,,,,,,,,0.0,2019-09-25
244828000,Other ship,123,14,4.0,30960.0,,,,,,,,,,,0.0,2019-09-25
246125000,General cargo ship,89,14,26.0,103144.0,,,,,,,,,,,0.0,2019-09-25
230630000,General cargo ship,88,12,13.0,72089.0,,,,,,,,,,,0.0,2019-09-25
377739000,General cargo ship,88,11,42.0,111009.0,,,,,,,,,,,0.0,2019-09-25
211727510,Passenger ship,170,27,320.0,3701330.0,13.26538884812913,16.3,0.1,19.9,5.7013195206831115,10.133167183701842,0.3763636363636351,2.842170943040401e-14,357.95,36.069642494090196,10904.0,2019-09-25
477021900,General cargo ship,229,33,,9476.0,13.26538884812913,16.3,0.1,19.9,5.7013195206831115,10.133167183701842,0.3763636363636351,2.842170943040401e-14,357.95,36.069642494090196,10904.0,2019-09-25
219000692,Pleasure boat,14,4,2657.0,273433.0,,,,,,,,,,,0.0,2019-09-25
265866000,Passenger ship,220,30,109.0,1203285.0,14.893540621865595,14.7,0.1,17.9,2.623612987074091,3.1658621103272266,0.19999999999998863,7.105427357601002e-15,248.82142857142858,20.10221700799354,4985.0,2019-09-25
266262000,Passenger ship,183,28,0.0,1429436.0,16.600042256496938,16.5,12.6,18.5,0.8936258726350482,0.7235264851861485,0.16999999999999993,7.105427357601002e-15,12.942500000000024,1.860975564806728,4733.0,2019-09-25
211417590,Fishing ship,42,10,52.0,289582.0,,,,,,,,,,,0.0,2019-09-25
