mmsi,iwrap_type_from_dataset,org_type_info_from_data,length_from_data_set,width,trips,signals,Speed_mean,Speed_median,Speed_min,Speed_max,Speed_std,ROT_mean,ROT_median,ROT_min,ROT_max,ROT_std,number_of_signals,date
245176000,General cargo ship,Cargo,90,12,4.0,62211.0,,,,,,,,,,,0.0,2019-07-18
538005553,Oil products tanker,Tanker,144,22,0.0,8257.0,,,,,,,,,,,0.0,2019-07-18
236039000,General cargo ship,Cargo,82,12,21.0,121388.0,,,,,,,,,,,0.0,2019-07-18
211223120,Other ship,Undefined,33,8,611.0,734304.0,6.137524913933683,7.6,0.1,12.4,4.570158229961774,22.27247200779686,4.963382352941181,2.842170943040401e-14,328.0333333333333,50.78498867112755,5519.0,2019-07-18
311045200,General cargo ship,Cargo,87,13,18.0,70790.0,,,,,,,,,,,0.0,2019-07-18
219005302,Fishing ship,Fishing,12,4,892.0,1444619.0,,,,,,,,,,,0.0,2019-07-18
211188000,Passenger ship,Passenger,141,24,99.0,4167266.0,13.01921719269103,14.5,0.1,16.8,4.091238957303236,9.394286563995866,0.9345238095238084,1.7763568394002505e-15,332.6,34.23337930683378,9632.0,2019-07-18
211543450,Passenger ship,Passenger,26,6,351.0,568060.0,6.7340909090909085,7.0,0.2,8.9,1.2260515192082881,15.834990393852065,4.75,0.011904761904730776,271.75000000000006,36.83045060327278,1364.0,2019-07-18
255805557,General cargo ship,Cargo,149,22,59.0,269372.0,,,,,,,,,,,0.0,2019-07-18
209223000,Oil products tanker,Tanker,93,13,11.0,76727.0,,,,,,,,,,,0.0,2019-07-18
265874000,Passenger ship,Passenger,177,26,262.0,1832717.0,13.11806264661239,13.7,0.1,17.0,3.0107752391454228,3.5631164021565325,0.18333333333333712,3.552713678800501e-15,351.7833333333333,22.968082919856506,7247.0,2019-07-18
246355000,General cargo ship,Cargo,80,9,113.0,99198.0,,,,,,,,,,,0.0,2019-07-18
211794540,Pleasure boat,Pleasure,11,7,1196.0,51216.0,,,,,,,,,,,0.0,2019-07-18
277504000,Passenger ship,Passenger,199,26,128.0,701054.0,,,,,,,,,,,0.0,2019-07-18
211265530,General cargo ship,Cargo,96,19,18.0,232199.0,,,,,,,,,,,0.0,2019-07-18
212519000,General cargo ship,Cargo,85,13,12.0,96737.0,,,,,,,,,,,0.0,2019-07-18
219007678,Other ship,Military,29,7,5.0,13725.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-07-18
305502000,General cargo ship,Cargo,88,13,14.0,59093.0,,,,,,,,,,,0.0,2019-07-18
244828000,Other ship,Undefined,123,14,4.0,30960.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-07-18
246125000,General cargo ship,Cargo,89,14,26.0,103144.0,,,,,,,,,,,0.0,2019-07-18
230630000,General cargo ship,Cargo,88,12,13.0,72089.0,,,,,,,,,,,0.0,2019-07-18
377739000,General cargo ship,Cargo,88,11,42.0,111009.0,,,,,,,,,,,0.0,2019-07-18
211727510,Passenger ship,Passenger,170,27,320.0,3701330.0,13.683257498374966,16.2,0.1,21.0,5.937202571943244,9.792327489379481,0.39833333333334053,2.842170943040401e-14,320.91111111111104,33.13323653837962,10769.0,2019-07-18
477021900,General cargo ship,Cargo,229,33,,9476.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-07-18
219000692,Pleasure boat,Sailing,14,4,2657.0,273433.0,4.118614130434782,5.35,0.1,7.5,2.554349361733131,25.686581469648566,3.75,0.04999999999998295,352.70000000000005,67.23325250632391,736.0,2019-07-18
265866000,Passenger ship,Passenger,220,30,109.0,1203285.0,,,,,,,,,,,0.0,2019-07-18
266262000,Passenger ship,Passenger,183,28,0.0,1429436.0,17.697487437185927,18.2,12.7,18.9,1.127592303286848,0.5878406098509804,0.11611111111112216,3.552713678800501e-15,8.694444444444514,1.6705595107839624,4577.0,2019-07-18
211417590,Fishing ship,Fishing,42,10,52.0,289582.0,,,,,,,,,,,0.0,2019-07-18
265463000,Passenger ship,Passenger,200,28,589.0,2092052.0,14.345167464114832,15.6,0.1,17.1,3.1662649334996695,4.192333864296891,0.34272727272726833,3.552713678800501e-15,351.4722222222223,26.078879736204797,5225.0,2019-07-18
236354000,General cargo ship,Cargo,89,12,117.0,214251.0,,,,,,,,,,,0.0,2019-07-18
218816000,General cargo ship,Cargo,134,22,42.0,213047.0,,,,,,,,,,,0.0,2019-07-18
518435000,General cargo ship,Cargo,87,10,6.0,65280.0,,,,,,,,,,,0.0,2019-07-18
577167000,Other ship,Spare 1,51,9,1543.0,119706.0,0.11121495327102804,0.1,0.1,0.3,0.03718161141102464,,,,,,107.0,2019-07-18
211333700,Oil products tanker,Tanker,68,12,54.0,113739.0,,,,,,,,,,,0.0,2019-07-18
211215210,Passenger ship,Passenger,49,8,502.0,839800.0,4.428257686676427,0.1,0.1,10.9,4.727741780203129,8.831007840887361,0.27000000000001734,7.105427357601002e-15,335.25000000000006,35.62714215153938,4781.0,2019-07-18
211543850,Passenger ship,Passenger,33,8,343.0,285993.0,5.903960396039603,6.3,0.3,7.5,1.4396664069123453,37.790098765432106,10.660000000000025,0.24999999999994316,347.9166666666667,87.53276893216623,404.0,2019-07-18
636017036,General cargo ship,Cargo,189,32,,10599.0,,,,,,,,,,,0.0,2019-07-18
211549170,Passenger ship,Passenger,24,7,1072.0,502777.0,5.809151572926596,6.4,0.1,7.3,1.6716404570518686,35.683913419913424,10.060000000000002,0.040000000000020464,350.1066666666667,71.32081099168681,1049.0,2019-07-18
304877000,General cargo ship,Cargo,112,15,52.0,133048.0,,,,,,,,,,,0.0,2019-07-18
244847000,General cargo ship,Cargo,89,12,2.0,14532.0,,,,,,,,,,,0.0,2019-07-18
355524000,General cargo ship,Cargo,229,32,,5715.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-07-18
250005054,General cargo ship,Cargo,133,16,3.0,22503.0,,,,,,,,,,,0.0,2019-07-18
211189000,Passenger ship,Passenger,172,26,138.0,503247.0,,,,,,,,,,,0.0,2019-07-18
230915000,General cargo ship,Cargo,139,24,294.0,343010.0,12.64398148148148,15.0,0.1,15.7,4.2561646494918515,11.593704817730629,0.6833333333333371,0.018181818181801646,354.0,43.041930671112624,3240.0,2019-07-18
248659000,General cargo ship,Cargo,195,32,,219308.0,,,,,,,,,,,0.0,2019-07-18
219083000,Oil products tanker,Tanker,141,22,1.0,90398.0,,,,,,,,,,,0.0,2019-07-18
210925000,General cargo ship,Cargo,169,27,0.0,16292.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-07-18
305203000,General cargo ship,Cargo,82,12,30.0,229379.0,,,,,,,,,,,0.0,2019-07-18
538007390,Oil products tanker,Tanker,251,44,,49553.0,,,,,,,,,,,0.0,2019-07-18
211130000,Other ship,Law enforcement,69,14,140.0,2187898.0,1.9460214805404783,0.8,0.1,6.5,2.1159704258687966,7.887412258699815,1.569583333333327,5.684341886080802e-14,220.7,22.664536147383526,8659.0,2019-07-18
211343680,Passenger ship,Passenger,191,30,167.0,1679595.0,14.771070902587837,15.1,13.1,18.7,1.3368822914435916,0.6399103922961803,0.2595238095237562,7.105427357601002e-15,8.15952380952379,1.3155226816092493,4753.0,2019-07-18
219000431,Passenger ship,Passenger,141,26,226.0,4063541.0,12.66200215285253,14.1,0.1,17.8,4.487159159421045,14.126268810584904,1.038095238095167,3.552713678800501e-15,327.45,44.65799443830224,10219.0,2019-07-18
211787800,Support ship,Pilot,15,5,3533.0,2123634.0,12.839446133063156,11.2,0.1,24.3,7.476461094925766,21.09003111045711,3.9250517598343606,0.03142857142859157,218.40833333333336,44.71011120556175,2961.0,2019-07-18
219147000,Passenger ship,Passenger,171,21,,807092.0,14.388309352517984,14.4,14.1,14.6,0.15638950444822702,0.09410400299288384,0.0841414141413992,0.008181818181753897,0.32999999999995566,0.11710315712690354,556.0,2019-07-18
219017325,Other ship,Other,22,8,1378.0,3777560.0,5.372676837725381,1.8,0.1,21.9,6.533157026464767,52.36716887873526,18.196590909090958,2.842170943040401e-14,351.25,86.30291504079543,5047.0,2019-07-18
211227550,Passenger ship,Passenger,28,6,188.0,1134074.0,5.577453027139875,6.35,0.1,8.6,2.1259046264640187,24.25643688225805,5.729999999999997,5.684341886080802e-14,340.3363636363636,61.39823522766417,1916.0,2019-07-18
211228710,Other ship,Other,65,12,39.0,112901.0,,,,,,,,,,,0.0,2019-07-18
566915000,Oil products tanker,Tanker,183,32,,10123.0,,,,,,,,,,,0.0,2019-07-18
305506000,General cargo ship,Cargo,161,25,5.0,31200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-07-18
211223780,Support ship,Tug,28,9,624.0,1143224.0,0.7756756756756757,0.2,0.1,3.3,0.9911624228162348,63.30170562770563,63.16833333333331,1.6181818181818244,131.50714285714284,78.15040368631492,111.0,2019-07-18
212204000,General cargo ship,Cargo,100,20,28.0,138840.0,,,,,,,,,,,0.0,2019-07-18
211110430,Pleasure boat,Sailing,33,6,17.0,39657.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-07-18
219423000,Passenger ship,Passenger,170,27,8.0,4070393.0,13.751892250782511,16.6,0.1,20.4,5.970569378638945,18.002537334912805,0.3555555555555827,2.842170943040401e-14,345.85625,51.415437215712565,10543.0,2019-07-18
211292150,Other ship,Other,20,6,237.0,78942.0,,,,,,,,,,,0.0,2019-07-18
219000429,Passenger ship,Passenger,141,26,15.0,4047213.0,12.99584501401682,14.1,0.1,17.5,4.4271251422272435,12.251202819027153,1.0309523809523853,7.105427357601002e-15,278.40000000000003,37.121083182373276,9988.0,2019-07-18
354456000,General cargo ship,Cargo,190,32,,6641.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-07-18
244130689,General cargo ship,Cargo,195,26,,326683.0,18.415073529411764,18.4,17.7,19.3,0.327703944122184,1.2291547619047625,0.7690476190476172,0.0035714285714334437,11.98571428571428,2.237700008662929,1088.0,2019-07-18
211222790,Support ship,Pilot,15,4,247.0,300685.0,0.09999999999999996,0.1,0.1,0.1,4.197323325386947e-17,,,,,,62.0,2019-07-18
219081000,Oil products tanker,Tanker,141,22,14.0,91931.0,,,,,,,,,,,0.0,2019-07-18
211243240,Fishing ship,Fishing,26,7,304.0,106440.0,7.4729978738483345,8.1,0.1,9.0,1.7615236028908543,3.761983198737585,2.375,0.01666666666665151,279.5,13.26092575739091,1411.0,2019-07-18
211224660,Support ship,Tug,15,5,117.0,97726.0,,,,,,,,,,,0.0,2019-07-18
372030000,General cargo ship,Cargo,92,11,,12206.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-07-18
211190000,Passenger ship,Passenger,142,24,23.0,3845233.0,12.300451444622793,14.2,0.1,17.2,4.805251842123207,18.6489404235717,1.2200000000000024,0.0033333333333338544,279.6,48.78342513949361,9968.0,2019-07-18
209325000,General cargo ship,Cargo,88,13,54.0,193764.0,,,,,,,,,,,0.0,2019-07-18
249517000,General cargo ship,Cargo,185,31,,11408.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-07-18
212694000,General cargo ship,Cargo,83,13,43.0,97149.0,,,,,,,,,,,0.0,2019-07-18
219007679,Other ship,Military,29,7,11.0,13068.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-07-18
211638130,Other ship,Other,49,10,738.0,409276.0,,,,,,,,,,,0.0,2019-07-18
245871000,General cargo ship,Cargo,95,13,13.0,50335.0,,,,,,,,,,,0.0,2019-07-18
219022256,Support ship,Pilot,20,6,1425.0,4820114.0,21.5607837181045,24.1,0.1,24.9,6.203702229685567,18.021949393239336,1.6833333333331666,0.011749680715240629,222.32000000000002,41.75865752244208,3292.0,2019-07-18
353977000,General cargo ship,Cargo,143,22,,6384.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-07-18
