mmsi,iwrap_type_from_dataset,org_type_info_from_data,length_from_data_set,width,trips,signals,Speed_mean,Speed_median,Speed_min,Speed_max,Speed_std,ROT_mean,ROT_median,ROT_min,ROT_max,ROT_std,number_of_signals,date
245176000,General cargo ship,Cargo,90,12,4.0,62211.0,,,,,,,,,,,0.0,2019-06-06
538005553,Oil products tanker,Tanker,144,22,0.0,8257.0,,,,,,,,,,,0.0,2019-06-06
236039000,General cargo ship,Cargo,82,12,21.0,121388.0,,,,,,,,,,,0.0,2019-06-06
211223120,Other ship,Undefined,33,8,611.0,734304.0,7.115245535714286,9.0,0.1,11.5,4.116717227903687,33.363901713324424,11.0,0.0033333333333303017,338.7688311688311,67.44990427032415,4480.0,2019-06-06
311045200,General cargo ship,Cargo,87,13,18.0,70790.0,9.89693515704154,10.0,8.0,10.6,0.4604700442118564,1.1369770992366417,0.26666666666670835,2.842170943040401e-14,208.6065934065934,9.825176140850015,3948.0,2019-06-06
219005302,Fishing ship,Fishing,12,4,892.0,1444619.0,,,,,,,,,,,0.0,2019-06-06
211188000,Passenger ship,Passenger,141,24,99.0,4167266.0,13.247990079570116,14.3,0.1,17.5,3.8343721005454143,4.3497071699175915,0.8086363636363654,2.842170943040401e-14,276.375,18.531351918758258,9677.0,2019-06-06
211543450,Passenger ship,Passenger,26,6,351.0,568060.0,6.5774566473988445,7.1,0.4,7.8,1.4522188538799445,16.709102564102565,4.549999999999988,0.01666666666666572,325.34999999999997,47.95402795319352,346.0,2019-06-06
255805557,General cargo ship,Cargo,149,22,59.0,269372.0,,,,,,,,,,,0.0,2019-06-06
209223000,Oil products tanker,Tanker,93,13,11.0,76727.0,,,,,,,,,,,0.0,2019-06-06
265874000,Passenger ship,Passenger,177,26,262.0,1832717.0,17.277815063385532,17.5,15.1,18.0,0.7134937129997629,0.5067613520099696,0.1222222222222058,2.842170943040401e-14,13.129999999999967,1.5469372983675465,5364.0,2019-06-06
246355000,General cargo ship,Cargo,80,9,113.0,99198.0,,,,,,,,,,,0.0,2019-06-06
211794540,Pleasure boat,Pleasure,11,7,1196.0,51216.0,0.1066666666666667,0.1,0.1,0.2,0.02537081317024624,,,,,,30.0,2019-06-06
277504000,Passenger ship,Passenger,199,26,128.0,701054.0,,,,,,,,,,,0.0,2019-06-06
211265530,General cargo ship,Cargo,96,19,18.0,232199.0,,,,,,,,,,,0.0,2019-06-06
212519000,General cargo ship,Cargo,85,13,12.0,96737.0,,,,,,,,,,,0.0,2019-06-06
219007678,Other ship,Military,29,7,5.0,13725.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-06-06
305502000,General cargo ship,Cargo,88,13,14.0,59093.0,,,,,,,,,,,0.0,2019-06-06
244828000,Other ship,Undefined,123,14,4.0,30960.0,,,,,,,,,,,0.0,2019-06-06
246125000,General cargo ship,Cargo,89,14,26.0,103144.0,,,,,,,,,,,0.0,2019-06-06
230630000,General cargo ship,Cargo,88,12,13.0,72089.0,,,,,,,,,,,0.0,2019-06-06
377739000,General cargo ship,Cargo,88,11,42.0,111009.0,9.30268886043534,9.7,0.1,10.0,1.342569462173323,5.259242424242422,0.4333333333333371,0.0049999999999954525,232.4,25.37455124929983,781.0,2019-06-06
211727510,Passenger ship,Passenger,170,27,320.0,3701330.0,13.329391830005495,15.9,0.1,20.4,5.684749594966756,11.810525715961115,0.4777777777777885,2.842170943040401e-14,333.4,39.422482667798015,10918.0,2019-06-06
477021900,General cargo ship,Cargo,229,33,,9476.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-06-06
219000692,Pleasure boat,Sailing,14,4,2657.0,273433.0,5.3770992366412225,5.65,0.1,7.6,1.3006962406422458,9.286086956521734,2.5500000000000114,0.049999999999954525,190.05,28.517501719921174,262.0,2019-06-06
265866000,Passenger ship,Passenger,220,30,109.0,1203285.0,15.73568635968723,16.0,0.1,19.5,3.3446929351037977,6.103918716095821,0.22888888888890335,0.0013888888888828888,344.02000000000004,32.84370747053963,4604.0,2019-06-06
266262000,Passenger ship,Passenger,183,28,0.0,1429436.0,17.24302841918295,17.8,13.6,19.0,1.3001119796970557,0.6626954280149364,0.13000000000000078,3.552713678800501e-15,9.899999999999949,1.7491688638811593,4504.0,2019-06-06
211417590,Fishing ship,Fishing,42,10,52.0,289582.0,10.071452991452992,12.2,0.1,12.7,3.0121604877617263,15.153330478514048,1.2666666666666515,0.0033333333333445125,353.59999999999997,52.54460525114174,1170.0,2019-06-06
265463000,Passenger ship,Passenger,200,28,589.0,2092052.0,15.266148661299383,15.6,0.1,20.1,3.857500104445663,4.919512350012349,0.4088888888889244,7.105427357601002e-15,346.3,26.39908071438854,5341.0,2019-06-06
236354000,General cargo ship,Cargo,89,12,117.0,214251.0,,,,,,,,,,,0.0,2019-06-06
218816000,General cargo ship,Cargo,134,22,42.0,213047.0,14.461613216715257,17.1,0.1,18.5,4.944772652940292,8.242403232333785,1.0,7.105427357601002e-15,301.25334685598375,31.289324769408893,2058.0,2019-06-06
518435000,General cargo ship,Cargo,87,10,6.0,65280.0,,,,,,,,,,,0.0,2019-06-06
577167000,Other ship,Spare 1,51,9,1543.0,119706.0,0.10833333333333332,0.1,0.1,0.2,0.027931019386546414,,,,,,48.0,2019-06-06
211333700,Oil products tanker,Tanker,68,12,54.0,113739.0,,,,,,,,,,,0.0,2019-06-06
211215210,Passenger ship,Passenger,49,8,502.0,839800.0,7.120887096774193,9.3,0.1,10.3,3.9217928394536337,8.610194946974422,0.5283333333333289,1.7763568394002505e-15,280.5,31.026318163110247,2480.0,2019-06-06
211543850,Passenger ship,Passenger,33,8,343.0,285993.0,5.864000000000001,6.7,0.7,7.0,1.9467665499489146,10.550000000000011,13.150000000000006,1.2000000000000455,17.799999999999955,13.162940400989433,25.0,2019-06-06
636017036,General cargo ship,Cargo,189,32,,10599.0,,,,,,,,,,,0.0,2019-06-06
211549170,Passenger ship,Passenger,24,7,1072.0,502777.0,6.2546,6.7,0.1,8.6,1.5786903960984455,31.47773737373737,12.666666666666629,0.10000000000002274,303.3,59.179990461552116,500.0,2019-06-06
304877000,General cargo ship,Cargo,112,15,52.0,133048.0,,,,,,,,,,,0.0,2019-06-06
244847000,General cargo ship,Cargo,89,12,2.0,14532.0,,,,,,,,,,,0.0,2019-06-06
