mmsi,iwrap_type_from_dataset,length_from_data_set,width,trips,signals,Speed_mean,Speed_median,Speed_min,Speed_max,Speed_std,ROT_mean,ROT_median,ROT_min,ROT_max,ROT_std,number_of_signals,date
245176000,General cargo ship,90,12,4.0,62211.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-10-13
538005553,Oil products tanker,144,22,0.0,8257.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-10-13
236039000,General cargo ship,82,12,21.0,121388.0,10.991348314606741,11.0,10.5,11.7,0.23463678946919073,0.4558358934971829,0.3233333333333377,0.006666666666660603,2.766666666666673,0.6488000090295114,890.0,2019-10-13
211223120,Other ship,33,8,611.0,734304.0,7.069664634146342,9.3,0.1,11.0,4.148371703190113,32.330693337179255,14.075000000000003,3.552713678800501e-15,300.1,60.872902195213975,1968.0,2019-10-13
311045200,General cargo ship,87,13,18.0,70790.0,,,,,,,,,,,0.0,2019-10-13
219005302,Fishing ship,12,4,892.0,1444619.0,,,,,,,,,,,0.0,2019-10-13
211188000,Passenger ship,141,24,99.0,4167266.0,12.606310963714398,14.2,0.1,18.0,4.457316637915436,9.959057219366988,0.8333333333333286,3.552713678800501e-15,261.59999999999997,31.742641140711882,10252.0,2019-10-13
211543450,Passenger ship,26,6,351.0,568060.0,6.8696078431372545,7.0,0.7,8.1,1.2252632409581221,26.6490206185567,5.500000000000057,0.02499999999999858,353.76666666666665,68.73922723334955,306.0,2019-10-13
255805557,General cargo ship,149,22,59.0,269372.0,,,,,,,,,,,0.0,2019-10-13
209223000,Oil products tanker,93,13,11.0,76727.0,,,,,,,,,,,0.0,2019-10-13
265874000,Passenger ship,177,26,262.0,1832717.0,12.311259907078435,14.3,0.1,16.8,3.696293002128754,4.699740586420053,0.2722727272727252,3.552713678800501e-15,347.69833333333327,29.16853899004132,7318.0,2019-10-13
246355000,General cargo ship,80,9,113.0,99198.0,,,,,,,,,,,0.0,2019-10-13
211794540,Pleasure boat,11,7,1196.0,51216.0,0.10000000000000002,0.1,0.1,0.1,1.4444459513666495e-17,,,,,,13.0,2019-10-13
277504000,Passenger ship,199,26,128.0,701054.0,22.340811965811962,23.1,17.5,23.5,1.2825603163823214,1.352152955421156,0.5388888888888914,1.4210854715202004e-14,16.331944444444467,3.080353105165541,1872.0,2019-10-13
211265530,General cargo ship,96,19,18.0,232199.0,,,,,,,,,,,0.0,2019-10-13
212519000,General cargo ship,85,13,12.0,96737.0,0.8894736842105264,0.8999999999999999,0.1,1.9,0.6844960559711896,37.318888888888885,12.5,0.07499999999998863,203.3,73.67533520695473,38.0,2019-10-13
219007678,Other ship,29,7,5.0,13725.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-10-13
