,mmsi,imo_from_data_set,imo_from_ship_db,name_from_data_set,name_from_ship_db,iwrap_type_from_dataset,org_type_info_from_data,iwrap_type_from_ship_db,org_type_from_ship_db,length_from_data_set,length_from_ship_db,height_1,height_2,height_3,depth,width,size_a,size_b,size_c,size_d,class_b,Speed_mean,Speed_std,Speed_median,Speed_max,Speed_min,Speed_mode,ROT_mean,ROT_std,ROT_median,ROT_max,ROT_min
2662,219884000,9192478,0,NORA MAERSK,,General cargo ship,Cargo,,,199,-1,-1,-1,-1,-1,30,153,46,15,15,0,15.676794786834547,1.858653074091646,15.7,18.7,9.9,16.0,0.3541197260879169,6.7061161607583015,0.0,40.2,-42.9
2663,304052000,9141352,0,PAUL,,General cargo ship,Cargo,,,83,-1,-1,-1,-1,-1,13,70,13,10,3,0,9.179008896797153,1.4199180654201418,9.4,11.6,0.0,10.0,0.0,0.0,0.0,0.0,0.0
2664,244770393,9721669,0,SYMPHONY SUN,,General cargo ship,Cargo,,,120,-1,-1,-1,-1,-1,17,13,107,9,8,0,8.519447436791081,4.485831388210048,10.2,13.4,0.0,12.0,0.0,0.0,0.0,0.0,0.0
2665,244820055,9592599,0,ROERBORG,,General cargo ship,Cargo,,,170,-1,-1,-1,-1,-1,20,158,12,9,11,0,9.11756438236578,1.055097550195477,9.5,10.9,6.4,10.0,0.0,0.0,0.0,0.0,0.0
2666,273386300,7801893,0,KAPITAN PASHNIN,,General cargo ship,Cargo,,,125,-1,-1,-1,-1,-1,16,100,25,12,4,0,6.735721528724781,1.002495433267282,6.9,9.2,0.9,7.0,0.0,0.0,0.0,0.0,0.0
2667,309473000,8209717,0,PEAK AMSTERDAM,,General cargo ship,Cargo,,,82,-1,-1,-1,-1,-1,11,72,10,8,3,0,4.436291600633914,0.5614308850104565,4.4,5.7,3.0,4.0,0.0,0.0,0.0,0.0,0.0
2668,304352000,9171060,0,WILSON BELFAST,,General cargo ship,Cargo,,,88,-1,-1,-1,-1,-1,13,77,11,7,6,0,9.779032431850016,1.378102288351365,10.1,11.7,0.0,10.0,0.0,0.0,0.0,0.0,0.0
2669,314319000,8405878,0,CARTEN MARIA,,General cargo ship,Cargo,,,85,-1,-1,-1,-1,-1,16,73,12,8,8,0,10.05060255779636,1.8485196201320817,10.4,12.1,0.0,10.0,0.0,0.0,0.0,0.0,0.0
2670,374092000,9738818,0,NAVIOS SPHERA,,General cargo ship,Cargo,,,228,-1,-1,-1,-1,-1,36,194,34,11,25,0,10.722697674418603,1.1083101929412968,10.6,13.2,7.2,10.0,0.0,0.0,0.0,0.0,0.0
2671,246571000,9367774,0,FRISIAN SPRING,,General cargo ship,Cargo,,,119,-1,-1,-1,-1,-1,14,110,9,7,7,0,10.132132598400744,1.5717462477834792,10.3,51.2,0.0,10.0,1.5526744817948918e-05,0.0024921271892059524,0.0,0.4,0.0
2672,235437000,9243928,0,SCOT VENTURE,,General cargo ship,Cargo,,,90,-1,-1,-1,-1,-1,14,78,12,7,7,0,10.105744980114462,3.98180830238714,11.7,15.4,0.0,12.0,0.0,0.0,0.0,0.0,0.0
2673,255805980,9195212,0,RIX PARTNER,,General cargo ship,Cargo,,,88,-1,-1,-1,-1,-1,12,74,14,5,7,0,7.368489916509491,2.886966393884021,8.2,12.3,0.0,8.0,0.0,0.0,0.0,0.0,0.0
2674,538006248,9554145,0,UGUR DADAYLI,,General cargo ship,Cargo,,,94,-1,-1,-1,-1,-1,14,78,16,3,11,0,9.616194986715954,2.200484882470948,10.0,11.7,0.0,10.0,0.0,0.0,0.0,0.0,0.0
2675,229536000,9180841,0,KAROLI,,General cargo ship,Cargo,,,101,-1,-1,-1,-1,-1,15,91,10,7,8,0,9.298269972231656,2.744848612659124,10.0,13.7,0.0,10.0,0.0,0.0,0.0,0.0,0.0
2676,229010000,9621895,0,VOLA,,General cargo ship,Cargo,,,190,-1,-1,-1,-1,-1,29,162,28,11,18,0,11.505410532020596,1.109263202208312,11.6,14.1,8.5,12.0,0.0,0.0,0.0,0.0,0.0
2677,219629000,9632131,0,MARGRETHE MAERSK,,General cargo ship,Cargo,,,399,-1,-1,-1,-1,-1,60,146,253,30,30,0,15.87142380422692,1.7870813894953408,16.3,17.4,4.6,16.0,0.0,0.0,0.0,0.0,0.0
2678,636092320,9483346,0,MAASHOLM,,General cargo ship,Cargo,,,150,-1,-1,-1,-1,-1,24,141,9,12,12,0,12.693589031586257,3.5756261105544693,14.0,16.8,0.0,14.0,0.0,0.0,0.0,0.0,0.0
2679,241100000,9543677,0,DESERT CALM,,General cargo ship,Cargo,,,193,-1,-1,-1,-1,-1,32,160,33,21,11,0,10.512633181126333,1.5333483905741725,11.0,12.3,5.6,11.0,0.0,0.0,0.0,0.0,0.0
2680,576195000,8226739,0,LA MANCHE,,General cargo ship,Cargo,,,172,-1,-1,-1,-1,-1,20,125,47,10,10,0,11.75245660488379,0.5546202183695214,11.7,13.6,10.2,12.0,0.0,0.0,0.0,0.0,0.0
2681,376083000,9240732,0,FIGARO,,General cargo ship,Cargo,,,80,-1,-1,-1,-1,-1,11,70,10,6,5,0,8.00993441387109,1.9258075604499847,8.5,11.7,0.0,9.0,0.0,0.0,0.0,0.0,0.0
2682,314397000,9491757,0,WILSON FEDJE,,General cargo ship,Cargo,,,90,-1,-1,-1,-1,-1,15,77,13,6,9,0,8.872122379660844,2.1608302410473774,9.3,12.5,0.0,10.0,0.0,0.0,0.0,0.0,0.0
2683,538002633,9361237,0,STAR NASIA,,General cargo ship,Cargo,,,229,-1,-1,-1,-1,-1,32,195,34,18,14,0,10.081802596130297,1.00653929643639,10.0,12.1,5.9,10.0,0.0,0.0,0.0,0.0,0.0
2684,636017974,9347449,0,MSC PORTUGAL,,General cargo ship,Cargo,,,304,-1,-1,-1,-1,-1,40,228,76,23,17,0,18.366435562805872,2.592734788456159,18.5,22.9,8.7,19.0,-0.012384448069603,3.344899661065227,0.0,23.6,-23.6
2685,245278000,9423748,0,EEMSBORG,,General cargo ship,Cargo,,,138,-1,-1,-1,-1,-1,16,123,15,13,3,0,10.36232830377364,4.123004574140042,11.9,14.1,0.0,12.0,0.0,0.0,0.0,0.0,0.0
2686,304662000,8801125,0,HOLSTENTOR,,General cargo ship,Cargo,,,87,-1,-1,-1,-1,-1,13,74,13,13,0,0,7.895652055688492,3.3287464533584643,9.2,97.1,0.0,9.0,0.06943930824450725,7.466673571090902,0.0,98.6,-94.5
2687,377288000,9160736,0,BALTIC LADY,,General cargo ship,Cargo,,,155,-1,-1,-1,-1,-1,23,124,31,5,18,0,16.478425022858886,1.5025725909236365,16.8,19.7,12.8,17.0,0.0,0.0,0.0,0.0,0.0
2688,636092195,9459955,0,LADY DORIS,,General cargo ship,Cargo,,,185,-1,-1,-1,-1,-1,24,157,28,13,11,0,11.072151898734177,0.6286126230957545,11.1,12.5,7.9,11.0,0.0,0.0,0.0,0.0,0.0
2689,245909000,9423669,0,ROBIJN,,General cargo ship,Cargo,,,90,-1,-1,-1,-1,-1,13,78,12,11,2,0,9.258566789005359,2.70183281030283,10.0,12.5,0.0,10.0,0.0,0.0,0.0,0.0,0.0
2690,244620571,9404716,0,ROLLDOCK SKY,,General cargo ship,Cargo,,,141,-1,-1,-1,-1,-1,24,19,122,12,12,0,6.943280088129991,4.569050133805797,9.6,12.2,0.0,10.0,0.0,0.0,0.0,0.0,0.0
2691,249720000,9150482,0,WILSON LEER,,General cargo ship,Cargo,,,88,-1,-1,-1,-1,-1,13,80,8,7,6,0,9.981765538117333,1.5655459412955506,10.1,12.3,0.0,10.0,0.0,0.0,0.0,0.0,0.0
2692,355286000,9765847,0,STAR SPIRIT,,General cargo ship,Cargo,,,188,-1,-1,-1,-1,-1,26,146,42,18,8,0,16.30231130966377,2.4684691895238413,16.3,20.1,0.0,16.0,0.0,0.0,0.0,0.0,0.0
2693,566619000,9529504,0,NORD SUMMIT,,General cargo ship,Cargo,,,200,-1,-1,-1,-1,-1,32,174,26,20,12,0,10.483972726525918,1.096798101819061,10.3,13.7,6.5,10.0,0.0,0.0,0.0,0.0,0.0
2694,257385000,8813972,0,KEGUMS,,General cargo ship,Cargo,,,104,-1,-1,-1,-1,-1,15,85,19,8,7,0,11.443514736725907,2.0761184657252043,12.0,13.5,0.0,12.0,-0.11632630533171436,14.13055642177883,0.0,501.6,-501.6
2695,319135900,9261035,0,PALAU,,General cargo ship,Cargo,,,177,-1,-1,-1,-1,-1,29,153,24,9,20,0,11.050246236105249,0.4121308349172828,11.0,12.4,8.9,11.0,0.0,0.0,0.0,0.0,0.0
2696,636092028,9537898,0,CHRISTINE OLDENDORFF,,General cargo ship,Cargo,,,229,-1,-1,-1,-1,-1,38,194,35,22,16,0,10.028392642690095,1.0727944188138538,9.8,13.1,7.0,10.0,0.0,0.0,0.0,0.0,0.0
2697,230625000,9590802,0,KUMPULA,,General cargo ship,Cargo,,,197,-1,-1,-1,-1,-1,32,161,36,10,22,0,8.324905378751533,4.224843761158162,10.1,51.2,0.0,10.0,0.2064475718321872,3.4042709500486823,0.0,37.5,-32.5
2698,244597000,9255737,0,ENFORCER,,General cargo ship,Cargo,,,135,-1,-1,-1,-1,-1,22,124,11,12,10,0,13.978987798490815,3.8006935902401855,15.2,21.5,0.0,16.0,0.0,0.0,0.0,0.0,0.0
2699,311009500,8804555,0,GREEN BODO,,General cargo ship,Cargo,,,109,-1,-1,-1,-1,-1,18,87,22,9,9,0,12.940536867142372,0.472174033663344,12.8,14.4,12.3,13.0,0.0,0.0,0.0,0.0,0.0
2700,258208000,6930520,0,ELEKTRON 2,,General cargo ship,Cargo,,,78,-1,-1,-1,-1,-1,14,55,23,7,7,0,9.618868575370817,1.7688253822506446,9.7,12.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0
2701,244666000,9433377,0,ARKLOW BROOK,,General cargo ship,Cargo,,,116,-1,-1,-1,-1,-1,16,109,7,10,6,0,10.933981597657883,2.3673874344402304,11.6,14.1,0.0,12.0,0.0,0.0,0.0,0.0,0.0
2702,538006208,9712979,0,PHOENIX RISING,,General cargo ship,Cargo,,,200,-1,-1,-1,-1,-1,32,171,29,22,10,0,11.101410197819417,1.5698361633520954,10.7,14.0,7.3,10.0,0.0,0.0,0.0,0.0,0.0
2703,311000776,9206059,0,SOUTHAMPTON STAR,,General cargo ship,Cargo,,,152,-1,-1,-1,-1,-1,23,126,26,17,6,0,16.070504305043055,0.36130963467628,16.1,16.9,14.8,16.0,0.0,0.0,0.0,0.0,0.0
2704,636015894,9666455,0,AFRICAN MAGNOLIA,,General cargo ship,Cargo,,,175,-1,-1,-1,-1,-1,27,156,19,14,13,0,11.282507720815316,2.5935156804114534,12.1,13.7,0.0,12.0,0.0,0.0,0.0,0.0,0.0
2705,244850968,9302255,0,SPIRIT,,General cargo ship,Cargo,,,142,-1,-1,-1,-1,-1,20,127,15,10,10,0,10.90434765705992,4.6859686034837535,12.7,18.0,0.0,14.0,0.31417038150528714,5.618526019103091,0.0,61.1,-71.4
2706,374322000,9727120,0,NORDIC OASIS,,General cargo ship,Cargo,,,225,-1,-1,-1,-1,-1,32,193,32,20,12,0,11.324969497639382,1.6787046261632412,11.5,14.9,5.5,12.0,0.0,0.0,0.0,0.0,0.0
2707,305681000,9142564,0,ARNE,,General cargo ship,Cargo,,,134,-1,-1,-1,-1,-1,16,124,10,7,9,0,12.970070656691606,1.825111719700442,13.3,15.6,0.0,14.0,0.0,0.0,0.0,0.0,0.0
2708,255805765,9702601,0,GISELA OLDENDORFF,,General cargo ship,Cargo,,,229,-1,-1,-1,-1,-1,32,197,32,11,21,0,10.105342100398742,0.9738449929392112,10.3,13.3,6.6,10.0,0.0,0.0,0.0,0.0,0.0
2709,372177000,9744984,0,TIGER LILY,,General cargo ship,Cargo,,,229,-1,-1,-1,-1,-1,32,203,26,20,12,0,11.693859524148738,1.4846610682343464,11.9,14.1,4.1,12.0,0.0,0.0,0.0,0.0,0.0
2710,636017242,9728150,0,DORIC TRIDENT,,General cargo ship,Cargo,,,190,-1,-1,-1,-1,-1,32,167,23,21,11,0,12.113627960207765,1.995663338307882,12.4,14.9,0.0,12.0,0.0,0.0,0.0,0.0,0.0
2711,311913000,9118006,0,ANNE,,General cargo ship,Cargo,,,90,-1,-1,-1,-1,-1,14,80,10,7,7,0,9.463669769720724,1.0033272540616311,9.6,10.7,0.0,10.0,0.0,0.0,0.0,0.0,0.0
2712,636018585,9729312,0,OCEAN SAGA,,General cargo ship,Cargo,,,229,-1,-1,-1,-1,-1,32,197,32,25,7,0,11.300167828556676,1.520710627835176,11.4,15.2,4.4,12.0,0.0,0.0,0.0,0.0,0.0
2713,538008018,9486568,0,INTERLINK COMITY,,General cargo ship,Cargo,,,190,-1,-1,-1,-1,-1,28,158,32,10,18,0,11.165248157248156,1.515318276113771,11.6,14.1,4.9,12.0,0.3397346437346437,4.840295579993453,0.0,42.9,-42.9
2714,246789000,9507087,0,MV ZEALAND BEATRIX,,General cargo ship,Cargo,,,126,-1,-1,-1,-1,-1,24,102,24,12,12,0,10.281769212353362,2.623348127752477,10.3,14.3,0.0,9.0,0.0,0.0,0.0,0.0,0.0
2715,304010297,9041320,0,FORSETI,,General cargo ship,Cargo,,,85,-1,-1,-1,-1,-1,13,76,9,10,3,0,9.097466660056515,2.2850623375871155,9.7,11.9,0.0,10.0,0.0,0.0,0.0,0.0,0.0
2716,636015892,9666431,0,AFRICAN KALMIA,,General cargo ship,Cargo,,,175,-1,-1,-1,-1,-1,27,156,19,11,16,0,11.843077776750205,1.3618933352108886,12.1,13.9,0.0,12.0,0.0,0.0,0.0,0.0,0.0
2717,244580000,9201944,0,ASHLEY,,General cargo ship,Cargo,,,89,-1,-1,-1,-1,-1,12,81,8,5,7,0,9.448027661439564,1.7995706800460975,9.7,12.5,0.0,10.0,0.0,0.0,0.0,0.0,0.0
2718,305342000,9434761,0,AMELAND,,General cargo ship,Cargo,,,116,-1,-1,-1,-1,-1,16,99,17,9,7,0,10.540075131480092,2.1412300327757894,11.0,12.6,0.0,11.0,0.0,0.0,0.0,0.0,0.0
2719,305676000,9505572,0,NBP CARRIER,,General cargo ship,Cargo,,,107,-1,-1,-1,-1,-1,18,87,20,9,9,0,9.98727369858135,1.0103592446332874,10.3,12.7,0.1,10.0,0.0,0.0,0.0,0.0,0.0
2720,538004056,9459383,0,GIORGOS B,,General cargo ship,Cargo,,,180,-1,-1,-1,-1,-1,28,157,23,11,17,0,12.45679293648533,1.4216694460413934,12.9,14.6,6.9,13.0,0.0,0.0,0.0,0.0,0.0
2721,636016166,89090700,0,BALTIC SPRING,,General cargo ship,Cargo,,,156,-1,-1,-1,-1,-1,23,126,30,10,13,0,17.07067620286086,0.9251760312263826,17.1,19.4,14.1,17.0,0.0,0.0,0.0,0.0,0.0
2722,249327000,9487603,0,KAREN,,General cargo ship,Cargo,,,90,-1,-1,-1,-1,-1,14,83,7,4,10,0,8.422350213485073,2.6246771636234283,9.2,11.9,0.0,9.0,0.13372492672931072,8.079738247947189,0.0,111.6,-107.2
2723,229698000,9700421,0,ZEYNO,,General cargo ship,Cargo,,,200,-1,-1,-1,-1,-1,32,169,31,22,10,0,11.103331482509718,1.4969709323457892,11.7,13.1,4.9,12.0,0.0,0.0,0.0,0.0,0.0
2724,314188000,9117208,0,WILSON LISTA,,General cargo ship,Cargo,,,88,-1,-1,-1,-1,-1,13,77,11,5,8,0,10.172841187687276,1.92085489309472,10.5,14.2,0.0,11.0,1.089621356578589e-05,0.0014762258340637376,0.0,0.2,0.0
2725,273310900,8873336,0,OMSKIY-133,,General cargo ship,Cargo,,,108,-1,-1,-1,-1,-1,14,88,20,6,8,0,7.813759091715451,1.5894557940592584,8.0,9.8,0.0,8.0,-0.009565371651587736,4.5811918076373646,0.0,64.5,-61.1
2726,372014000,9580003,0,SPINNAKER SW,,General cargo ship,Cargo,,,176,-1,-1,-1,-1,-1,29,148,28,18,11,0,10.653471856917413,0.3686116544895056,10.7,11.3,9.5,11.0,0.0,0.0,0.0,0.0,0.0
2727,304045000,9373515,0,SPANACO RELIABILITY,,General cargo ship,Cargo,,,90,-1,-1,-1,-1,-1,15,78,12,10,5,0,9.784291031458727,2.04358148201837,10.1,12.1,0.0,10.0,0.0,0.0,0.0,0.0,0.0
2728,305641000,9534286,0,WILSON VOLOS,,General cargo ship,Cargo,,,114,-1,-1,-1,-1,-1,14,100,14,4,10,0,10.130257510729614,1.2936758471304868,10.3,11.7,0.0,10.0,0.0,0.0,0.0,0.0,0.0
2729,249625000,9496276,0,SLAVYANKA,,General cargo ship,Cargo,,,180,-1,-1,-1,-1,-1,28,152,28,19,9,0,10.276105539476342,0.8258233545243809,10.3,12.9,8.5,10.0,0.0,0.0,0.0,0.0,0.0
2730,636016450,9481489,0,NEW EXPLORER,,General cargo ship,Cargo,,,225,-1,-1,-1,-1,-1,32,180,45,18,14,0,11.894504699927694,0.8161178471493509,12.0,14.4,7.3,12.0,0.32911730352077423,3.654805165114792,0.0,40.2,-30.2
2731,212530000,9356581,0,FRAKT FJORD,,General cargo ship,Cargo,,,90,-1,-1,-1,-1,-1,14,86,4,7,7,0,10.486435596066203,2.7995815893401157,11.4,14.7,0.0,12.0,0.0,0.0,0.0,0.0,0.0
2732,212302000,9430193,0,HERCULES J,,General cargo ship,Cargo,,,152,-1,-1,-1,-1,-1,24,140,12,13,11,0,12.330504793072489,3.849663797793661,13.6,17.4,0.0,14.0,0.0,0.0,0.0,0.0,0.0
2733,304682000,8822600,0,MAGDALENA,,General cargo ship,Cargo,,,88,-1,-1,-1,-1,-1,13,76,12,9,4,0,9.115264978001484,1.8464597819021875,9.5,11.1,0.0,10.0,0.0,0.0,0.0,0.0,0.0
2734,308803000,9316309,0,DANUBE HIGHWAY,,General cargo ship,Cargo,,,148,-1,-1,-1,-1,-1,25,28,120,15,10,0,16.042804763580893,4.181898288838143,17.5,20.2,0.0,18.0,0.16014900856505926,3.940420659763261,0.0,40.2,-54.7
2735,257041670,9579468,0,KRYSSHOLM,,General cargo ship,Cargo,,,90,-1,-1,-1,-1,-1,13,75,15,6,7,0,7.816078332227242,2.2640197744169117,8.7,11.0,0.0,9.0,-0.07789084473659262,13.912401514760056,0.0,107.2,-120.7
2736,636013823,9451575,0,SENATA,,General cargo ship,Cargo,,,141,-1,-1,-1,-1,-1,20,122,19,15,5,0,9.15197031142398,1.125154200379319,9.6,12.1,0.0,10.0,0.0,0.0,0.0,0.0,0.0
2737,236586000,9213090,0,TRANSOSPREY,,General cargo ship,Cargo,,,174,-1,-1,-1,-1,-1,22,13,161,11,11,0,12.107759158784267,1.244306849291416,12.5,14.3,9.3,13.0,0.0,0.0,0.0,0.0,0.0
2738,564216000,9190107,0,OSLO WAVE 2,,General cargo ship,Cargo,,,143,-1,-1,-1,-1,-1,23,71,72,12,11,0,12.625469667888096,0.7075572920760701,12.6,15.8,10.2,13.0,0.19856336881288897,3.7308826687957786,0.0,40.2,-37.5
2739,367665030,9681821,0,OCEAN GRAND,,General cargo ship,Cargo,,,171,-1,-1,-1,-1,-1,25,148,23,5,20,0,13.471029791226835,2.718419507144729,14.5,16.1,0.0,15.0,0.0,0.0,0.0,0.0,0.0
2740,477002500,9758715,0,XING HUAN HAI,,General cargo ship,Cargo,,,229,-1,-1,-1,-1,-1,33,198,31,22,11,0,10.45800395256917,0.44809143404922097,10.5,11.4,8.5,11.0,0.15081521739130435,2.8502228035011363,0.0,16.1,-25.7
2741,244790715,9677399,0,ALICE,,General cargo ship,Cargo,,,89,-1,-1,-1,-1,-1,14,79,10,7,7,0,10.13352843289149,1.8387057714886348,10.6,13.3,0.0,11.0,0.0,0.0,0.0,0.0,0.0
2742,245824000,9013048,0,FRISIUM,,General cargo ship,Cargo,,,87,-1,-1,-1,-1,-1,12,78,9,8,4,0,8.924615111321648,1.3425487811310852,9.1,10.9,0.0,9.0,0.0,0.0,0.0,0.0,0.0
2743,412478720,9722742,0,TIAN QI,,General cargo ship,Cargo,,,190,-1,-1,-1,-1,-1,29,170,20,20,9,0,13.639660029604164,1.2278144543942242,13.8,15.7,1.6,14.0,0.0,0.0,0.0,0.0,0.0
2744,246110000,9364136,0,MYRTE,,General cargo ship,Cargo,,,122,-1,-1,-1,-1,-1,16,110,12,8,8,0,12.884580446971633,3.0947463552618486,13.9,16.9,0.0,14.0,0.03349998679682069,5.485788715310527,0.0,64.5,-57.9
2745,353445000,9389227,0,LADY GIOVI,,General cargo ship,Cargo,,,226,-1,-1,-1,-1,-1,32,194,32,12,20,0,9.640561797752811,1.294694864949114,10.0,11.1,2.7,10.0,0.0,0.0,0.0,0.0,0.0
