"mmsi"	"imo_from_data_set"	"imo_from_ship_db"	"name_from_data_set"	"name_from_ship_db"	"iwrap_type_from_dataset"	"org_type_info_from_data"	"iwrap_type_from_ship_db"	"org_type_from_ship_db"	"length_from_data_set"	"length_from_ship_db"	"height_1"	"height_2"	"height_3"	"depth"	"width"	"size_a"	"size_b"	"size_c"	"size_d"	"class_b"
210925000	9313204	0	"BALTIC FULMAR"	""	"General cargo ship"	"Cargo"	""	""	169	-1	-1	-1	-1	-1	27	159	10	0	27	0
305203000	8710998	0	"MOSVIK"	""	"General cargo ship"	"Cargo"	""	""	82	-1	-1	-1	-1	-1	12	62	20	7	5	0
538007390	9780251	0	"FRONT CASTOR"	""	"Oil products tanker"	"Tanker"	""	""	251	-1	-1	-1	-1	-1	44	214	37	17	27	0
211130000	9285811	0	"ARKONA"	""	"Other ship"	"Law enforcement"	""	""	69	-1	-1	-1	-1	-1	14	11	58	7	7	0
211343680	9217230	0	"NILS HOLGERSSON"	""	"Passenger ship"	"Passenger"	""	""	191	-1	-1	-1	-1	-1	30	21	170	15	15	0
219000431	9144421	0	"PRINSESSE BENEDIKTE"	""	"Passenger ship"	"Passenger"	""	""	141	-1	-1	-1	-1	-1	26	22	119	13	13	0
211787800	9817195	0	"PILOT KNURRHAHN"	""	"Support ship"	"Pilot"	""	""	15	-1	-1	-1	-1	-1	5	8	7	5	0	0
219147000	7826867	0	"STENA GOTHICA"	""	"Passenger ship"	"Passenger"	""	""	171	-1	-1	-1	-1	-1	21	25	146	18	3	0
219017325	9663075	0	"ACCOMPLISHER"	""	"Other ship"	"Other"	""	""	22	-1	-1	-1	-1	-1	8	16	6	5	3	0
211227550	0	0	"KAROLINE"	""	"Passenger ship"	"Passenger"	""	""	28	-1	-1	-1	-1	-1	6	9	19	3	3	0
211228710	9124562	0	"ZINGST"	""	"Other ship"	"Other"	""	""	65	-1	-1	-1	-1	-1	12	60	5	1	11	0
566915000	9242326	0	"MTM MANILA"	""	"Oil products tanker"	"Tanker"	""	""	183	-1	-1	-1	-1	-1	32	150	33	12	20	0
305506000	9301134	0	"LANGENESS"	""	"General cargo ship"	"Cargo"	""	""	161	-1	-1	-1	-1	-1	25	141	20	15	10	0
211223780	9107409	0	"FAIRPLAY XII"	""	"Support ship"	"Tug"	""	""	28	-1	-1	-1	-1	-1	9	8	20	7	2	0
212204000	9179983	0	"MAIN HIGHWAY"	""	"General cargo ship"	"Cargo"	""	""	100	-1	-1	-1	-1	-1	20	76	24	10	10	0
219005958	0	0	"ND77 SOSTRENE   _"	""	"Fishing ship"	"Fishing"	""	""	12	-1	-1	-1	-1	-1	4	9	3	2	2	0
211110430	0	0	"BELUGA II"	""	"Pleasure boat"	"Sailing"	""	""	33	-1	-1	-1	-1	-1	6	25	8	4	2	0
219423000	9587867	0	"COPENHAGEN"	""	"Passenger ship"	"Passenger"	""	""	170	-1	-1	-1	-1	-1	27	22	148	15	12	0
211292150	0	0	"ROSENORT"	""	"Other ship"	"Other"	""	""	20	-1	-1	-1	-1	-1	6	10	10	3	3	0
219000429	9144419	0	"PRINS RICHARD"	""	"Passenger ship"	"Passenger"	""	""	141	-1	-1	-1	-1	-1	26	22	119	13	13	0
354456000	9440916	0	"BULK PRIDE"	""	"General cargo ship"	"Cargo"	""	""	190	-1	-1	-1	-1	-1	32	168	22	20	12	0
211298240	9181089	0	"VILM"	""	"Other ship"	"Anti-pollution"	""	""	49	-1	-1	-1	-1	-1	10	37	12	7	3	0
244130689	9443554	0	"BORE SEA"	""	"General cargo ship"	"Cargo"	""	""	195	-1	-1	-1	-1	-1	26	148	47	13	13	0
211222790	0	0	"PILOT MUTTLAND"	""	"Support ship"	"Pilot"	""	""	15	-1	-1	-1	-1	-1	4	11	4	2	2	0
211222680	8701284	0	"BUELK"	""	"Support ship"	"Tug"	""	""	30	-1	-1	-1	-1	-1	9	11	19	7	2	0
219081000	9277371	0	"TERNVAG"	""	"Oil products tanker"	"Tanker"	""	""	141	-1	-1	-1	-1	-1	22	113	28	16	6	0
211243240	0	0	"ODIN"	""	"Fishing ship"	"Fishing"	""	""	26	-1	-1	-1	-1	-1	7	18	8	1	6	0
211224660	0	0	"ANTON"	""	"Support ship"	"Tug"	""	""	15	-1	-1	-1	-1	-1	5	5	10	3	2	0
372030000	8415691	0	"UTA"	""	"General cargo ship"	"Cargo"	""	""	92	-1	-1	-1	-1	-1	11	77	15	5	6	0
211190000	9151539	0	"SCHLESWIG-HOLSTEIN"	""	"Passenger ship"	"Passenger"	""	""	142	-1	-1	-1	-1	-1	24	24	118	12	12	0
273395690	0	0	"FORTUNA"	""	"Other ship"	"Undefined"	""	""	218	-1	-1	-1	-1	-1	46	218	0	0	46	0
209325000	9065948	0	"RIX RIVER"	""	"General cargo ship"	"Cargo"	""	""	88	-1	-1	-1	-1	-1	13	78	10	5	8	0
249517000	9754903	0	"RUEN"	""	"General cargo ship"	"Cargo"	""	""	185	-1	-1	-1	-1	-1	31	158	27	10	21	0
212694000	8818623	0	"TANJA"	""	"General cargo ship"	"Cargo"	""	""	83	-1	-1	-1	-1	-1	13	71	12	7	6	0
211534760	0	0	""	""	"Other ship"	"Undefined"	""	""	-1	-1	-1	-1	-1	-1	-1	0	0	0	0	0
219007679	0	0	"FYRHOLM"	""	"Other ship"	"Military"	""	""	29	-1	-1	-1	-1	-1	7	14	15	2	5	0
211638130	6818617	0	"KREBS HELIOS"	""	"Other ship"	"Other"	""	""	49	-1	-1	-1	-1	-1	10	36	13	5	5	0
245871000	9187136	0	"PEAK SAUDA"	""	"General cargo ship"	"Cargo"	""	""	95	-1	-1	-1	-1	-1	13	86	9	6	7	0
219022256	9812030	0	"DANPILOT ALFA"	""	"Support ship"	"Pilot"	""	""	20	-1	-1	-1	-1	-1	6	17	3	3	3	0
353977000	9370525	0	"SABAHAT SONAY"	""	"General cargo ship"	"Cargo"	""	""	143	-1	-1	-1	-1	-1	22	125	18	11	11	0
211590700	9659804	0	"UNDINE"	""	"Passenger ship"	"Passenger"	""	""	25	-1	-1	-1	-1	-1	8	9	16	4	4	0
211288480	9032185	0	"FAIRPLAY VI"	""	"Support ship"	"Tug"	""	""	27	-1	-1	-1	-1	-1	10	12	15	7	3	0
211516260	0	0	"MARIANNE"	""	"Fishing ship"	"Fishing"	""	""	15	-1	-1	-1	-1	-1	5	13	2	3	2	0
219002666	0	0	"STELLA POLARIS"	""	"Other ship"	"Military"	""	""	14	-1	-1	-1	-1	-1	5	7	7	2	3	0
244679000	0	0	"PEGASUS"	""	"Pleasure boat"	"Sailing"	""	""	30	-1	-1	-1	-1	-1	6	26	4	4	2	0
309807000	9195664	0	"FRI LAKE"	""	"General cargo ship"	"Cargo"	""	""	90	-1	-1	-1	-1	-1	13	76	14	7	6	0
231355000	9306005	0	"ARNARFELL"	""	"General cargo ship"	"Cargo"	""	""	138	-1	-1	-1	-1	-1	22	130	8	12	10	0
232003036	9687124	0	"BW CANOLA"	""	"General cargo ship"	"Cargo"	""	""	225	-1	-1	-1	-1	-1	32	196	29	20	12	0
215193000	9506693	0	"GOLD POINT"	""	"Oil products tanker"	"Tanker"	""	""	183	-1	-1	-1	-1	-1	32	149	34	16	16	0
211163700	0	0	""	""	"Other ship"	"Undefined"	""	""	-1	-1	-1	-1	-1	-1	-1	0	0	0	0	0
211216490	9021124	0	"BUGSIER 16"	""	"Support ship"	"Tug"	""	""	29	-1	-1	-1	-1	-1	8	10	19	4	4	0
219000737	7432202	0	"HOLGER DANSKE"	""	"Passenger ship"	"Passenger"	""	""	80	-1	-1	-1	-1	-1	12	20	60	4	8	0
218367000	9107605	0	"SH 3 STELLA POLARIS"	""	"Fishing ship"	"Fishing"	""	""	24	-1	-1	-1	-1	-1	8	21	3	6	2	0
305661000	8611013	0	"LENE D"	""	"General cargo ship"	"Cargo"	""	""	82	-1	-1	-1	-1	-1	12	73	9	7	5	0
230204000	8820860	0	"EXPORTER"	""	"General cargo ship"	"Cargo"	""	""	122	-1	-1	-1	-1	-1	20	102	20	10	10	0
219590000	9703461	0	"ESVAGT FROUDE"	""	"Other ship"	"Other"	""	""	84	-1	-1	-1	-1	-1	18	14	70	9	9	0
219024178	9839557	0	"DANPILOT INDIA"	""	"Support ship"	"Pilot"	""	""	15	-1	-1	-1	-1	-1	5	12	3	2	3	0
211235220	0	0	"THEO FISCHER"	""	"Other ship"	"SAR"	""	""	23	-1	-1	-1	-1	-1	6	11	12	3	3	0
305426000	9432206	0	"BELTNES"	""	"General cargo ship"	"Cargo"	""	""	176	-1	-1	-1	-1	-1	26	149	27	8	18	0
245405000	9402653	0	"STAR CURACAO"	""	"Oil products tanker"	"Tanker"	""	""	110	-1	-1	-1	-1	-1	14	93	17	7	7	0
211231520	9405693	0	"KIEL"	""	"Support ship"	"Tug"	""	""	32	-1	-1	-1	-1	-1	14	13	19	7	7	0
211549160	0	0	"MARKGRAFENHEIDE"	""	"Passenger ship"	"Passenger"	""	""	24	-1	-1	-1	-1	-1	6	5	19	2	4	0
212787000	9504059	0	"WES AMELIE"	""	"General cargo ship"	"Cargo"	""	""	153	-1	-1	-1	-1	-1	24	141	12	12	12	0
218601000	8521438	0	"ELISABETH M. BORGESE"	""	"Other ship"	"Other"	""	""	57	-1	-1	-1	-1	-1	11	18	39	7	4	0
211411230	0	0	"BALTIC STAR"	""	"Passenger ship"	"Passenger"	""	""	27	-1	-1	-1	-1	-1	6	8	19	4	2	0
211558470	0	0	"SCHNATERMANN"	""	"Passenger ship"	"Passenger"	""	""	22	-1	-1	-1	-1	-1	5	4	18	3	2	0
211356520	0	0	"WARNOW"	""	"Other ship"	"Law enforcement"	""	""	26	-1	-1	-1	-1	-1	6	15	11	2	4	0
211377940	0	0	"SELENE"	""	"Passenger ship"	"Passenger"	""	""	26	-1	-1	-1	-1	-1	7	6	20	3	4	0
211771340	0	0	"SEEHEILBAD ZINGST"	""	"Passenger ship"	"Passenger"	""	""	28	-1	-1	-1	-1	-1	8	8	20	3	5	0
211207340	0	0	"JADE"	""	"Other ship"	"Law enforcement"	""	""	28	-1	-1	-1	-1	-1	6	14	14	3	3	0
212172000	9179995	0	"NECKAR HIGHWAY"	""	"General cargo ship"	"Cargo"	""	""	100	-1	-1	-1	-1	-1	20	74	26	10	10	0
211514540	0	0	""	""	"Other ship"	"Undefined"	""	""	-1	-1	-1	-1	-1	-1	-1	0	0	0	0	0
211231260	0	0	"KEHRWIEDER"	""	"Other ship"	"Undefined"	""	""	24	-1	-1	-1	-1	-1	6	16	8	4	2	0
211223180	0	0	"FRITZ REUTER"	""	"Other ship"	"Reserved"	""	""	24	-1	-1	-1	-1	-1	7	11	13	1	6	0
211611070	9241243	0	"STEIN"	""	"Support ship"	"Tug"	""	""	28	-1	-1	-1	-1	-1	8	13	15	5	3	0
230961000	6411421	0	"POLARIS"	""	"Support ship"	"Towing long/wide"	""	""	32	-1	-1	-1	-1	-1	6	10	22	3	3	0
235101881	0	0	"WINDCAT 34"	""	"Fast ferry"	"HSC"	""	""	18	-1	-1	-1	-1	-1	6	8	10	3	3	0
211533590	0	0	"PILOT SCHILKSEE"	""	"Support ship"	"Pilot"	""	""	17	-1	-1	-1	-1	-1	6	12	5	3	3	0
211752730	0	0	"LINA"	""	"Pleasure boat"	"Pleasure"	""	""	26	-1	-1	-1	-1	-1	6	23	3	3	3	0
211212690	0	0	"PUTLOS"	""	"Other ship"	"Military"	""	""	29	-1	-1	-1	-1	-1	6	13	16	4	2	0
211177410	0	0	"ALDEBARAN"	""	"General cargo ship"	"Cargo"	""	""	95	-1	-1	-1	-1	-1	10	90	5	5	5	0
211517420	0	0	"KURT"	""	"Support ship"	"Diving"	""	""	50	-1	-1	-1	-1	-1	22	34	16	4	18	0
211352600	1	0	""	""	"Other ship"	"Undefined"	""	""	-1	-1	-1	-1	-1	-1	-1	0	0	0	0	0
219020860	0	0	""	""	"Other ship"	"Undefined"	""	""	-1	-1	-1	-1	-1	-1	-1	0	0	0	0	0
211614010	0	0	"NOK1"	""	"Support ship"	"Tug"	""	""	20	-1	-1	-1	-1	-1	6	10	10	3	3	0
271043415	9257199	0	"SAKARYA"	""	"General cargo ship"	"Cargo"	""	""	170	-1	-1	-1	-1	-1	27	145	25	7	20	0
211751340	0	0	"SINDBAD II"	""	"Pleasure boat"	"Sailing"	""	""	14	-1	-1	-1	-1	-1	8	12	2	5	3	0
211128920	0	0	""	""	"Pleasure boat"	"Sailing"	""	""	15	-1	-1	-1	-1	-1	5	11	4	2	3	0
219007538	0	0	"NAKSKOV HAVN 1"	""	"Support ship"	"Towing"	""	""	13	-1	-1	-1	-1	-1	4	7	6	2	2	0
211537310	0	0	""	""	"Other ship"	"Undefined"	""	""	-1	-1	-1	-1	-1	-1	-1	0	0	0	0	0
477592600	9608386	0	"DA TAI"	""	"General cargo ship"	"Cargo"	""	""	180	-1	-1	-1	-1	-1	28	15	165	14	14	0
211205810	0	0	"ARKONA"	""	"Other ship"	"SAR"	""	""	28	-1	-1	-1	-1	-1	7	7	21	2	5	0
376129000	7214753	0	"WIND EXPRESS"	""	"Other ship"	"Other"	""	""	55	-1	-1	-1	-1	-1	11	8	47	5	6	0
211757540	7803205	0	"KRONPRINS FREDERIK"	""	"Passenger ship"	"Passenger"	""	""	153	-1	-1	-1	-1	-1	23	28	125	20	3	0
305978000	9387592	0	"PEGASUS"	""	"General cargo ship"	"Cargo"	""	""	158	-1	-1	-1	-1	-1	23	147	11	21	2	0
219018272	9308900	0	"PACIFIC"	""	"Oil products tanker"	"Tanker"	""	""	115	-1	-1	-1	-1	-1	17	91	24	9	8	0
219001859	5111696	0	"RONJA"	""	"Support ship"	"Tug"	""	""	25	-1	-1	-1	-1	-1	7	5	20	3	4	0
211212470	0	0	"BUMS"	""	"Other ship"	"Military"	""	""	25	-1	-1	-1	-1	-1	7	6	19	3	4	0
211338680	9218818	0	"RANZOW"	""	"Other ship"	"Other"	""	""	33	-1	-1	-1	-1	-1	9	17	16	5	4	0
219005979	0	0	"NAKSKOV HAVN II"	""	"Support ship"	"Tug"	""	""	12	-1	-1	-1	-1	-1	4	4	8	2	2	0
211360780	0	0	"SANTA BARBARA ANNA"	""	"Pleasure boat"	"Sailing"	""	""	51	-1	-1	-1	-1	-1	8	44	7	3	5	0
211307920	0	0	""	""	"Pleasure boat"	"Pleasure"	""	""	26	-1	-1	-1	-1	-1	6	8	18	5	1	0
235029294	0	0	"PAMELA P"	""	"Other ship"	"Undefined"	""	""	12	-1	-1	-1	-1	-1	5	8	4	2	3	0
304010160	8912027	0	"ADELE"	""	"General cargo ship"	"Cargo"	""	""	90	-1	-1	-1	-1	-1	13	75	15	7	6	0
211651920	0	0	"HAITHABU"	""	"Other ship"	"Undefined"	""	""	40	-1	-1	-1	-1	-1	10	16	24	5	5	0
229849000	9125695	0	"KERLI"	""	"General cargo ship"	"Cargo"	""	""	90	-1	-1	-1	-1	-1	13	75	15	7	6	0
353047000	9227962	0	"SOLITAIRE I"	""	"General cargo ship"	"Cargo"	""	""	160	-1	-1	-1	-1	-1	26	141	19	17	9	0
211504730	0	0	"SAGITTARIUS"	""	"Pleasure boat"	"Sailing"	""	""	19	-1	-1	-1	-1	-1	5	19	0	5	0	0
211724850	7431313	0	"WIND PROTECTOR"	""	"General cargo ship"	"Cargo"	""	""	30	-1	-1	-1	-1	-1	7	18	12	6	1	0
219021291	0	0	"NAVARANA"	""	"Pleasure boat"	"Sailing"	""	""	12	-1	-1	-1	-1	-1	4	8	4	4	0	0
211572830	0	0	"WARDER"	""	"Other ship"	"Other"	""	""	12	-1	-1	-1	-1	-1	4	6	6	3	1	0
211222780	0	0	""	""	"Other ship"	"Undefined"	""	""	-1	-1	-1	-1	-1	-1	-1	0	0	0	0	0
211747930	0	0	"GRIEP TO II"	""	"Support ship"	"Dredging"	""	""	37	-1	-1	-1	-1	-1	12	29	8	5	7	0
219016668	0	0	"BALOO"	""	"Pleasure boat"	"Sailing"	""	""	12	-1	-1	-1	-1	-1	3	7	5	1	2	0
273325210	0	0	"M/Y SEVERNAYA TEN"	""	"Other ship"	"Other"	""	""	29	-1	-1	-1	-1	-1	7	5	24	3	4	0
211595280	0	0	"RAMBO"	""	"Pleasure boat"	"Sailing"	""	""	12	-1	-1	-1	-1	-1	4	11	1	1	3	0
354552000	9774264	0	"NAVIOS CORAL"	""	"General cargo ship"	"Cargo"	""	""	229	-1	-1	-1	-1	-1	35	195	34	24	11	0
244090800	8911841	0	"MALTA CEMENT"	""	"General cargo ship"	"Cargo"	""	""	88	-1	-1	-1	-1	-1	13	72	16	4	9	0
219023811	0	0	"LAVIE"	""	"Pleasure boat"	"Sailing"	""	""	12	-1	-1	-1	-1	-1	4	10	2	2	2	0
211445220	0	0	"SWINEMUENDE"	""	"Passenger ship"	"Passenger"	""	""	29	-1	-1	-1	-1	-1	10	10	19	8	2	0
211537610	0	0	"BOUNTY-ARNIS"	""	"Pleasure boat"	"Sailing"	""	""	12	-1	-1	-1	-1	-1	4	6	6	4	0	0
211209510	8738108	0	"MERKUR II"	""	"Passenger ship"	"Passenger"	""	""	29	-1	-1	-1	-1	-1	6	13	16	1	5	0
211242840	0	0	"BREDSTEDT"	""	"Other ship"	"Law enforcement"	""	""	66	-1	-1	-1	-1	-1	9	18	48	8	1	0
211250470	0	0	"BARENTS-SEE"	""	"Other ship"	"Other"	""	""	19	-1	-1	-1	-1	-1	5	11	8	2	3	0
219005964	0	0	"FN 322 SYRODDE"	""	"Fishing ship"	"Fishing"	""	""	15	-1	-1	-1	-1	-1	4	11	4	3	1	0
219014434	0	0	"VOYAGER"	""	"Other ship"	"Other"	""	""	15	-1	-1	-1	-1	-1	6	6	9	3	3	0
219009338	0	0	"WIND SUPPORTER"	""	"Passenger ship"	"Passenger"	""	""	24	-1	-1	-1	-1	-1	6	14	10	4	2	0
218439000	8208062	0	"HOGELAND"	""	"General cargo ship"	"Cargo"	""	""	74	-1	-1	-1	-1	-1	9	64	10	2	7	0
211795930	0	0	"LISA"	""	"Pleasure boat"	"Sailing"	""	""	10	-1	-1	-1	-1	-1	3	10	0	1	2	0
538007533	9327360	0	"ADVANTAGE PARTY"	""	"Oil products tanker"	"Tanker"	""	""	183	-1	-1	-1	-1	-1	27	147	36	22	5	0
211212720	0	0	"MUNSTER"	""	"Other ship"	"Military"	""	""	29	-1	-1	-1	-1	-1	6	13	16	2	4	0
209014000	9116802	0	"RIX EMERALD"	""	"General cargo ship"	"Cargo"	""	""	88	-1	-1	-1	-1	-1	12	76	12	6	6	0
219019936	0	0	"WIND TRANSPORTER"	""	"General cargo ship"	"Cargo"	""	""	25	-1	-1	-1	-1	-1	6	11	14	3	3	0
305236000	9155418	0	"BERUM"	""	"General cargo ship"	"Cargo"	""	""	100	-1	-1	-1	-1	-1	16	86	14	6	10	0
211624750	0	0	"BREITLING"	""	"Passenger ship"	"Passenger"	""	""	40	-1	-1	-1	-1	-1	11	20	20	0	11	0
211399000	5148754	0	"HDW HERKULES"	""	"Other ship"	"Undefined"	""	""	54	-1	-1	-1	-1	-1	10	21	33	6	4	0
