mmsi,iwrap_type_from_dataset,length_from_data_set,width,trips,signals,Speed_mean,Speed_median,Speed_min,Speed_max,Speed_std,ROT_mean,ROT_median,ROT_min,ROT_max,ROT_std,number_of_signals,date
245176000,General cargo ship,90,12,4.0,62211.0,,,,,,,,,,,0.0,2019-08-24
538005553,Oil products tanker,144,22,0.0,8257.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-08-24
236039000,General cargo ship,82,12,21.0,121388.0,,,,,,,,,,,0.0,2019-08-24
211223120,Other ship,33,8,611.0,734304.0,7.561997563946407,10.2,0.1,11.4,4.1568111582652545,38.742454388984505,13.560000000000002,0.040000000000020464,340.40000000000003,75.987135273776,1642.0,2019-08-24
311045200,General cargo ship,87,13,18.0,70790.0,8.372707423580785,8.4,7.8,8.9,0.3352024855729245,0.8623170731707326,0.3399999999999892,2.842170943040401e-14,21.33999999999999,2.451595737595212,458.0,2019-08-24
219005302,Fishing ship,12,4,892.0,1444619.0,,,,,,,,,,,0.0,2019-08-24
211188000,Passenger ship,141,24,99.0,4167266.0,12.662548415930083,13.9,0.1,17.1,4.026863348495701,7.49176634449649,0.6499999999999879,2.842170943040401e-14,320.28333333333336,30.24722491449185,10069.0,2019-08-24
211543450,Passenger ship,26,6,351.0,568060.0,6.692402826855123,7.0,0.1,8.0,1.2598242282317589,19.514347619047623,5.4250000000000185,0.006666666666717447,321.1,52.2420293447863,1132.0,2019-08-24
255805557,General cargo ship,149,22,59.0,269372.0,,,,,,,,,,,0.0,2019-08-24
209223000,Oil products tanker,93,13,11.0,76727.0,,,,,,,,,,,0.0,2019-08-24
265874000,Passenger ship,177,26,262.0,1832717.0,15.701775147928995,16.2,13.4,16.7,0.9526977463961415,0.48103445501215003,0.21999999999999176,0.005454545454547599,12.93174603174603,1.2860598945376647,2535.0,2019-08-24
246355000,General cargo ship,80,9,113.0,99198.0,,,,,,,,,,,0.0,2019-08-24
211794540,Pleasure boat,11,7,1196.0,51216.0,4.880536912751678,5.2,0.1,7.9,1.833385778950458,4.288543417366947,1.7499999999999716,0.01666666666667993,83.25,10.858056141515776,298.0,2019-08-24
277504000,Passenger ship,199,26,128.0,701054.0,,,,,,,,,,,0.0,2019-08-24
211265530,General cargo ship,96,19,18.0,232199.0,,,,,,,,,,,0.0,2019-08-24
212519000,General cargo ship,85,13,12.0,96737.0,,,,,,,,,,,0.0,2019-08-24
219007678,Other ship,29,7,5.0,13725.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-08-24
305502000,General cargo ship,88,13,14.0,59093.0,,,,,,,,,,,0.0,2019-08-24
244828000,Other ship,123,14,4.0,30960.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-08-24
246125000,General cargo ship,89,14,26.0,103144.0,,,,,,,,,,,0.0,2019-08-24
230630000,General cargo ship,88,12,13.0,72089.0,,,,,,,,,,,0.0,2019-08-24
377739000,General cargo ship,88,11,42.0,111009.0,7.866666666666667,7.9,7.8,7.9,0.05773502691896289,,,,,,3.0,2019-08-24
211727510,Passenger ship,170,27,320.0,3701330.0,13.508385495359379,15.8,0.1,20.9,5.897425586014693,7.920985942990592,0.4052777777777976,2.842170943040401e-14,356.78000000000003,32.055029368253294,9266.0,2019-08-24
477021900,General cargo ship,229,33,,9476.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-08-24
219000692,Pleasure boat,14,4,2657.0,273433.0,4.554395604395603,6.2,0.1,8.6,2.9505101636285356,26.80281609195402,4.800000000000004,0.04999999999998295,339.95000000000005,64.50239486816392,728.0,2019-08-24
265866000,Passenger ship,220,30,109.0,1203285.0,16.81878545913007,16.8,14.2,18.2,0.7359016196266882,0.6459821120082698,0.17090909090907758,7.105427357601002e-15,7.669999999999995,1.4497981936178979,4759.0,2019-08-24
266262000,Passenger ship,183,28,0.0,1429436.0,16.61060842433697,16.7,13.4,18.4,1.5132270907048775,0.6376020954754732,0.134633838383861,2.842170943040401e-14,13.905263157894723,1.9106131112850413,4487.0,2019-08-24
211417590,Fishing ship,42,10,52.0,289582.0,,,,,,,,,,,0.0,2019-08-24
265463000,Passenger ship,200,28,589.0,2092052.0,14.325290420872216,15.7,0.1,17.0,3.0521150022678083,3.5589594355738425,0.3422222222222189,3.552713678800501e-15,276.9646153846154,20.28979131907187,5251.0,2019-08-24
236354000,General cargo ship,89,12,117.0,214251.0,,,,,,,,,,,0.0,2019-08-24
218816000,General cargo ship,134,22,42.0,213047.0,,,,,,,,,,,0.0,2019-08-24
518435000,General cargo ship,87,10,6.0,65280.0,,,,,,,,,,,0.0,2019-08-24
577167000,Other ship,51,9,1543.0,119706.0,0.11515151515151514,0.1,0.1,0.2,0.036129784186475646,,,,,,66.0,2019-08-24
211333700,Oil products tanker,68,12,54.0,113739.0,,,,,,,,,,,0.0,2019-08-24
211215210,Passenger ship,49,8,502.0,839800.0,5.180347081361281,7.2,0.1,11.2,4.249218521094477,11.548076799743468,0.4399999999999977,7.105427357601002e-15,349.10833333333335,40.73897011814862,4437.0,2019-08-24
211543850,Passenger ship,33,8,343.0,285993.0,6.553392658509454,6.9,0.3,8.5,1.562191493781174,23.17001893939394,9.37499999999999,0.024999999999977263,348.5333333333333,54.24984714433876,899.0,2019-08-24
636017036,General cargo ship,189,32,,10599.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-08-24
