length_from_data_set,width,iwrap_type_from_dataset,mean_speed,top_speed,std_speed,Speed_mode,Speed_median,ROT_mean,ROT_max,ROT_median,ROT_min,ROT_mode
168,25,General cargo ship,13.28216910813704,76.8,4.389301274193763,15,14.6,0.00012296892348468016,45.7,1.0,-42.9,2.0
111,14,General cargo ship,9.954560292552918,14.6,2.203334496353364,10,10.4,4.132103343904631e-06,0.4,0.0,0.0,0.0
155,22,General cargo ship,16.525807633298285,76.8,3.211015559634048,18,17.4,0.2112211036218518,54.7,1.0,-51.6,1.0
168,27,General cargo ship,12.554627676622765,22.7,4.942109743281689,16,13.4,0.04296027227911662,57.9,1.0,-45.7,3.0
81,11,General cargo ship,9.244809652589973,11.1,1.6187733343140496,10,9.6,-0.049282296650717726,54.7,1.0,-98.6,-4.0
183,32,Oil products tanker,11.697757959868731,16.0,1.7731886078489134,12,11.9,0.20455422230015785,37.5,1.0,-48.6,-2.0
140,23,General cargo ship,12.693368208272247,18.6,4.201053889303426,16,13.5,-0.05098071882358169,64.5,1.0,-51.6,2.0
315,50,Oil products tanker,15.780362641122133,19.8,2.016003951697825,16,16.0,-0.007594936708860749,25.7,-1.0,-23.6,1.0
90,14,General cargo ship,8.971321943048576,10.9,1.0742421743099781,9,9.1,-0.031702512562814075,90.4,1.0,-98.6,-3.0
100,14,General cargo ship,9.075867970660148,32.0,1.5586055863459138,10,9.4,6.519967400162999e-06,0.2,0.0,0.0,0.0
184,28,Oil products tanker,11.997705738632979,63.4,1.875341669166384,12,12.3,0.16988707466777905,51.6,1.0,-48.6,1.0
117,17,General cargo ship,10.424025519457793,13.7,2.6425501167105816,12,11.0,0.000819359149775663,67.9,1.0,-51.6,2.0
83,13,General cargo ship,9.760885392202912,11.0,0.6332535755249896,10,9.9,-0.07224048849224987,42.9,-1.0,-37.5,3.0
108,16,General cargo ship,7.675953062058497,12.2,3.0990108290250373,10,9.3,-0.027689882655146245,64.5,-1.0,-40.2,-1.0
141,22,Oil products tanker,11.287335150033964,14.8,2.094245178781113,12,11.6,-0.19596708075989105,51.6,-1.0,-54.7,-2.0
187,31,General cargo ship,17.9398170160146,83.2,1.594027932765071,19,18.1,-0.013987942879449829,40.2,-1.0,-54.7,-1.0
183,32,Oil products tanker,12.491530718500526,14.5,1.2546404627659344,12,12.5,0.38615064213814654,42.9,1.0,-40.2,-2.0
229,32,General cargo ship,9.967627753303963,13.1,2.820435993447234,11,10.7,0.1120440528634361,35.0,1.0,-37.5,1.0
169,27,General cargo ship,12.984983866051435,21.0,4.2833018102476945,15,14.7,-0.03871989993798678,48.6,-1.0,-48.6,-1.0
147,23,General cargo ship,12.194285358344159,70.5,4.983500317566727,17,13.8,-0.05181263236576555,54.7,1.0,-67.9,4.0
190,30,General cargo ship,11.61550110928909,13.2,0.7067942216428743,12,11.7,0.10081026333558406,30.2,1.0,-35.0,-2.0
229,32,General cargo ship,10.542002442002444,13.6,2.344930586976313,12,11.6,0.3352380952380953,27.9,1.0,-27.9,1.0
