mmsi,imo_from_data_set,imo_from_ship_db,name_from_data_set,name_from_ship_db,iwrap_type_from_dataset,org_type_info_from_data,iwrap_type_from_ship_db,org_type_from_ship_db,length_from_data_set,length_from_ship_db,height_1,height_2,height_3,depth,width,size_a,size_b,size_c,size_d,class_b,mean_speed,top_speed,std_speed
219083000,9221267,0,TERNVIK,,Oil products tanker,Tanker,,,141,-1,-1,-1,-1,-1,22,115,26,11,11,0,11.429756189296223,15.4,1.4671805130899864
210925000,9313204,0,BALTIC FULMAR,,General cargo ship,Cargo,,,169,-1,-1,-1,-1,-1,27,159,10,0,27,0,13.382709305180457,17.0,4.2955118681332
305203000,8710998,0,MOSVIK,,General cargo ship,Cargo,,,82,-1,-1,-1,-1,-1,12,62,20,7,5,0,7.879568748664872,11.4,1.9550496482494704
538007390,9780251,0,FRONT CASTOR,,Oil products tanker,Tanker,,,251,-1,-1,-1,-1,-1,44,214,37,17,27,0,12.088973422396222,91.2,2.2554387280772445
566915000,9242326,0,MTM MANILA,,Oil products tanker,Tanker,,,183,-1,-1,-1,-1,-1,32,150,33,12,20,0,11.187701274325793,51.2,1.8091208577304274
305506000,9301134,0,LANGENESS,,General cargo ship,Cargo,,,161,-1,-1,-1,-1,-1,25,141,20,15,10,0,13.464625000000002,102.2,4.6063733206804445
212204000,9179983,0,MAIN HIGHWAY,,General cargo ship,Cargo,,,100,-1,-1,-1,-1,-1,20,76,24,10,10,0,12.163331892826273,16.8,4.103812675845155
219005958,0,0,ND77 SOSTRENE   _,,Fishing ship,Fishing,,,12,-1,-1,-1,-1,-1,4,9,3,2,2,0,0.04312041208503601,9.8,0.5713129054029106
354456000,9440916,0,BULK PRIDE,,General cargo ship,Cargo,,,190,-1,-1,-1,-1,-1,32,168,22,20,12,0,9.849465441951514,12.4,1.3382363755087432
244130689,9443554,0,BORE SEA,,General cargo ship,Cargo,,,195,-1,-1,-1,-1,-1,26,148,47,13,13,0,17.340710719566065,51.9,1.617938862001741
219081000,9277371,0,TERNVAG,,Oil products tanker,Tanker,,,141,-1,-1,-1,-1,-1,22,113,28,16,6,0,11.809759493533193,16.3,3.984942320450517
211243240,0,0,ODIN,,Fishing ship,Fishing,,,26,-1,-1,-1,-1,-1,7,18,8,1,6,0,1.6714411875234876,10.4,2.95187282584475
372030000,8415691,0,UTA,,General cargo ship,Cargo,,,92,-1,-1,-1,-1,-1,11,77,15,5,6,0,8.33833360642307,11.5,1.917500714100189
209325000,9065948,0,RIX RIVER,,General cargo ship,Cargo,,,88,-1,-1,-1,-1,-1,13,78,10,5,8,0,7.846800231209101,11.7,2.682112318928773
249517000,9754903,0,RUEN,,General cargo ship,Cargo,,,185,-1,-1,-1,-1,-1,31,158,27,10,21,0,11.140348877980363,13.9,0.6374987154565783
212694000,8818623,0,TANJA,,General cargo ship,Cargo,,,83,-1,-1,-1,-1,-1,13,71,12,7,6,0,8.912301722096984,13.3,2.491556599069423
245871000,9187136,0,PEAK SAUDA,,General cargo ship,Cargo,,,95,-1,-1,-1,-1,-1,13,86,9,6,7,0,10.06434488924208,12.8,1.9023396565927004
353977000,9370525,0,SABAHAT SONAY,,General cargo ship,Cargo,,,143,-1,-1,-1,-1,-1,22,125,18,11,11,0,12.86687030075188,14.6,0.5586827725348966
211516260,0,0,MARIANNE,,Fishing ship,Fishing,,,15,-1,-1,-1,-1,-1,5,13,2,3,2,0,0.15979889616000575,9.6,1.0664429828654631
309807000,9195664,0,FRI LAKE,,General cargo ship,Cargo,,,90,-1,-1,-1,-1,-1,13,76,14,7,6,0,9.562523054223533,11.9,2.007392745835818
231355000,9306005,0,ARNARFELL,,General cargo ship,Cargo,,,138,-1,-1,-1,-1,-1,22,130,8,12,10,0,13.4362847546184,18.9,5.447921676934719
232003036,9687124,0,BW CANOLA,,General cargo ship,Cargo,,,225,-1,-1,-1,-1,-1,32,196,29,20,12,0,11.169565217391309,11.2,0.04635016284661699
215193000,9506693,0,GOLD POINT,,Oil products tanker,Tanker,,,183,-1,-1,-1,-1,-1,32,149,34,16,16,0,11.071682075753056,12.7,1.690554203866182
218367000,9107605,0,SH 3 STELLA POLARIS,,Fishing ship,Fishing,,,24,-1,-1,-1,-1,-1,8,21,3,6,2,0,1.6011518652298824,10.7,2.7046569817634762
305661000,8611013,0,LENE D,,General cargo ship,Cargo,,,82,-1,-1,-1,-1,-1,12,73,9,7,5,0,6.442481610712939,11.4,3.283275219017592
230204000,8820860,0,EXPORTER,,General cargo ship,Cargo,,,122,-1,-1,-1,-1,-1,20,102,20,10,10,0,13.884978621164144,62.6,3.29885618157653
305426000,9432206,0,BELTNES,,General cargo ship,Cargo,,,176,-1,-1,-1,-1,-1,26,149,27,8,18,0,10.577618791351421,17.6,4.509897017240427
245405000,9402653,0,STAR CURACAO,,Oil products tanker,Tanker,,,110,-1,-1,-1,-1,-1,14,93,17,7,7,0,10.52817283531933,24.0,2.732072636526196
212787000,9504059,0,WES AMELIE,,General cargo ship,Cargo,,,153,-1,-1,-1,-1,-1,24,141,12,12,12,0,13.837740419630023,51.2,4.5328225238482664
212172000,9179995,0,NECKAR HIGHWAY,,General cargo ship,Cargo,,,100,-1,-1,-1,-1,-1,20,74,26,10,10,0,13.119946340910671,17.7,4.065208977647773
211177410,0,0,ALDEBARAN,,General cargo ship,Cargo,,,95,-1,-1,-1,-1,-1,10,90,5,5,5,0,0.21383610127960792,10.6,1.2427729271237293
271043415,9257199,0,SAKARYA,,General cargo ship,Cargo,,,170,-1,-1,-1,-1,-1,27,145,25,7,20,0,6.805532765330809,13.6,5.782668783137663
477592600,9608386,0,DA TAI,,General cargo ship,Cargo,,,180,-1,-1,-1,-1,-1,28,15,165,14,14,0,8.451024981873312,14.5,6.265722066130041
305978000,9387592,0,PEGASUS,,General cargo ship,Cargo,,,158,-1,-1,-1,-1,-1,23,147,11,21,2,0,12.893993806529442,17.6,3.788019747848111
219018272,9308900,0,PACIFIC,,Oil products tanker,Tanker,,,115,-1,-1,-1,-1,-1,17,91,24,9,8,0,11.493339133336512,15.8,3.6188119212824335
304010160,8912027,0,ADELE,,General cargo ship,Cargo,,,90,-1,-1,-1,-1,-1,13,75,15,7,6,0,8.675934859091074,12.2,3.268959334655118
229849000,9125695,0,KERLI,,General cargo ship,Cargo,,,90,-1,-1,-1,-1,-1,13,75,15,7,6,0,9.35674651745643,102.2,3.00422038083033
353047000,9227962,0,SOLITAIRE I,,General cargo ship,Cargo,,,160,-1,-1,-1,-1,-1,26,141,19,17,9,0,8.270265024762416,13.7,4.477273713432794
211724850,7431313,0,WIND PROTECTOR,,General cargo ship,Cargo,,,30,-1,-1,-1,-1,-1,7,18,12,6,1,0,0.0014483311616718454,2.2,0.01609376768284131
354552000,9774264,0,NAVIOS CORAL,,General cargo ship,Cargo,,,229,-1,-1,-1,-1,-1,35,195,34,24,11,0,3.0565222608904357,12.9,5.214176616097683
244090800,8911841,0,MALTA CEMENT,,General cargo ship,Cargo,,,88,-1,-1,-1,-1,-1,13,72,16,4,9,0,8.071385152803956,12.7,4.034306717151639
219005964,0,0,FN 322 SYRODDE,,Fishing ship,Fishing,,,15,-1,-1,-1,-1,-1,4,11,4,3,1,0,0.17732269885751242,8.6,1.0042078726391366
218439000,8208062,0,HOGELAND,,General cargo ship,Cargo,,,74,-1,-1,-1,-1,-1,9,64,10,2,7,0,7.7180419921875,51.2,1.7555568690625287
538007533,9327360,0,ADVANTAGE PARTY,,Oil products tanker,Tanker,,,183,-1,-1,-1,-1,-1,27,147,36,22,5,0,10.082932072665029,16.9,4.931318280725615
209014000,9116802,0,RIX EMERALD,,General cargo ship,Cargo,,,88,-1,-1,-1,-1,-1,12,76,12,6,6,0,6.796075180871034,12.8,3.2107990317799873
219019936,0,0,WIND TRANSPORTER,,General cargo ship,Cargo,,,25,-1,-1,-1,-1,-1,6,11,14,3,3,0,4.000776907044346,26.8,6.980974117975258
305236000,9155418,0,BERUM,,General cargo ship,Cargo,,,100,-1,-1,-1,-1,-1,16,86,14,6,10,0,5.62975328269446,12.6,5.1292471689530466
219009413,0,0,HEIAN A201,,Fishing ship,Fishing,,,11,-1,-1,-1,-1,-1,4,8,3,2,2,0,0.9681633730787405,9.3,1.9845625409225578
211577000,9458901,0,SVENJA,,General cargo ship,Cargo,,,160,-1,-1,-1,-1,-1,28,24,136,14,14,0,10.711035406246308,21.1,6.5042757999361545
219006152,0,0,M S FELIX,,Fishing ship,Fishing,,,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0.7600833756822303,9.9,2.022195874605689
211138490,0,0,ALBERT WEGENER,,General cargo ship,Cargo,,,28,-1,-1,-1,-1,-1,6,13,15,3,3,0,1.2351259016588094,13.3,2.846274279182807
219011766,0,0,NF 139 MARIA LOUISE,,Fishing ship,Fishing,,,10,-1,-1,-1,-1,-1,4,4,6,2,2,0,1.202599883711272,8.9,2.3237461917097604
219000895,0,0,ND19 TELSTAR,,Fishing ship,Fishing,,,17,-1,-1,-1,-1,-1,4,12,5,2,2,0,1.5723129745697586,10.0,2.680425521453682
212702000,9195901,0,ELENA L,,General cargo ship,Cargo,,,96,-1,-1,-1,-1,-1,13,88,8,6,7,0,8.708013083372732,12.5,2.131843908132819
305691000,9512381,0,CALYPSO,,General cargo ship,Cargo,,,133,-1,-1,-1,-1,-1,23,16,117,17,6,0,13.29755747126437,16.4,3.700020377452186
212209000,9195925,0,CEMSEA III,,General cargo ship,Cargo,,,95,-1,-1,-1,-1,-1,13,81,14,3,10,0,9.884927853381658,12.6,3.108844541362786
235059487,9357597,0,CORONA SEA,,General cargo ship,Cargo,,,187,-1,-1,-1,-1,-1,26,26,161,13,13,0,18.408018159010812,96.0,1.2361785425911773
211202400,8504208,0,FREDO,,General cargo ship,Cargo,,,82,-1,-1,-1,-1,-1,11,64,18,8,3,0,7.5396309796721015,11.4,2.356275146882501
311564000,9146120,0,CEMBAY,,General cargo ship,Cargo,,,130,-1,-1,-1,-1,-1,19,113,17,11,8,0,5.811111111111111,12.5,4.948107299650986
567019000,9732199,0,INTHIRA NAREE,,General cargo ship,Cargo,,,199,-1,-1,-1,-1,-1,32,170,29,12,20,0,11.237606616696821,13.3,0.8701974477401183
566278000,9231470,0,MAERSK NEWBURY,,General cargo ship,Cargo,,,211,-1,-1,-1,-1,-1,31,175,36,10,21,0,13.900176604340052,19.8,2.1587404292287915
