311996000,148,25,6,8,70,70,9316294,THAMES HIGHWAY,1,C6UR4,22,126,20,5
518867000,106,19,5,8,70,70,8121020,RAWAN,1,E5U2814,90,16,10,9
273426540,65,11,2,4,80,80,6921751,NEVA LUX,1,UGZF,52,13,8,3
230998000,96,13,4,6,72,79,9195901,SWEGARD,1,OJNF,88,8,6,7
246667000,83,13,3,6,70,70,9489558,ADAMAS,1,PBXW,78,5,2,11
245029000,89,12,3,4,70,70,9201970,WESTEWIND,1,PBJC,74,15,7,5
265577460,60,13,4,4,60,60,0,GULLI,1,SFIO,30,30,10,3
257409000,140,22,6,9,82,89,9172222,FINNSTRAUM,1,LAJF5,120,20,11,11
230052950,22,6,3,3,30,30,0,TRION,1,OH2946,18,4,3,3
265532790,12,4,,,0,37,0,ASTREA,2,8SY2534,6,6,1,3
273323300,95,13,3,5,0,99,7612527,RUSSA,1,UANW,85,10,5,8
273516400,115,17,5,7,37,83,7636614,KAPITAN PONIKAROVSKY,1,UBDU,79,36,8,9
219000174,25,6,3,3,51,51,0,MHV 911 BOPA,1,OVLK,7,18,2,4
265548350,28,8,5,5,52,52,7527875,KULLEN,1,SDFH,11,17,4,4
305224000,101,14,4,6,70,70,9155951,FEED STAVANGER,1,V2PU6,90,11,4,10
265514870,17,5,2,2,50,50,0,PILOT 749 SE,1,SJZR,10,7,3,2
219014267,9,3,,,0,53,0,RIGGE,2,XPE2395,7,2,2,1
373354000,177,29,7,11,70,70,9606053,FEDERAL KIBUNE,1,3FNJ7,153,24,21,8
265707250,26,6,,,0,37,0,LIBRA AF STOCKHOLM,2,SCJQ,18,8,1,5
273333950,93,14,5,6,79,86,9226566,VALERIY ZELENKO,1,UHGE,63,30,7,7
244890000,88,12,3,6,70,70,9194282,JENNIFER BENITA,1,PFBC,78,10,6,6
273357510,29,9,5,5,52,52,9584970,DUNAI,1,UBWG4,14,15,6,3
219017212,0,0,,,0,36,0,ANNE SHIPCO,2,5QHA,0,0,0,0
212390000,60,12,2,3,3,3,7413713,FRIGG,1,5BHQ2,43,17,9,3
266232000,191,26,6,8,79,79,9334959,TRANSPAPER,1,SKEC,16,174,13,13
230627000,40,8,4,4,30,30,6721357,WESTFJORD,1,OJPJ,25,15,4,4
211636000,100,16,5,8,80,89,9212486,PATRICIA ESSBERGER,1,DALU,74,26,7,7
273142300,135,26,9,10,0,0,7330038,ERMAK,1,UINH,30,105,13,13
258682000,239,44,8,17,80,89,9321689,SOLVIKEN,1,LAJC6,209,30,16,28
236610000,88,13,4,6,78,78,9528500,DELAMAR,1,ZDKG5,84,4,7,6
265546890,74,12,4,4,90,90,0,FREJA,1,SJFV,35,39,4,8
273335530,27,12,5,5,0,70,9429481,KAPITAN POPOV,1,,13,14,6,7
219009101,16,6,2,2,0,0,0,SLEIPNER R,1,OVUS2,8,8,0,6
266101000,0,0,,,30,30,0,SETTE MARI,1,SECT,0,0,0,0
265503900,13,4,1,1,50,50,0,PILOT 729 SE,1,SFPA,7,6,2,2
245258000,171,26,7,10,70,79,9387425,EMPIRE,1,PBRA,155,14,12,12
277385000,28,9,5,5,52,52,9534731,KLASCO1,1,LY2187,5,23,5,4
219375000,85,22,7,7,52,52,9423839,MAGNE VIKING,1,OURK2,85,0,11,11
210474000,87,13,3,5,70,70,9044932,SWE BULK,1,C4FJ2,71,16,1,12
265558290,64,12,,,62,62,0,FRAGANCIA,1,SJFZ,34,30,5,7
240565000,249,44,9,15,80,81,9305623,PROPONTIS,1,SZGY,204,45,20,24
230145000,60,14,5,5,90,90,8802076,ARANDA,1,OIRY,30,30,7,7
231843000,89,14,4,6,70,70,9263564,EKEN,1,OZ2129,70,19,10,4
235050837,117,17,4,7,70,70,9350783,ALAND,1,MCRH,100,17,10,7
265628430,12,6,,,0,37,0,APOLLON & DAF,2,SD5461,11,1,1,5
244073000,88,12,3,5,70,70,9356517,CITO,1,PBHQ,73,16,5,6
636091594,184,27,11,11,80,80,9425497,PERSEUS N,1,A8PR8,150,34,17,10
265617170,19,6,2,2,38,38,0,HARRY,1,SGUL,16,3,3,3
230941700,105,18,4,5,90,99,9622502,MERI,1,OJPH,10,95,6,12
273441620,73,12,5,6,80,80,7804948,ECOMAR,1,UEWV,42,31,4,8
265317000,37,7,2,2,60,60,0,SILVERPILEN,1,SEJW,8,29,2,5
230995310,34,10,,,0,52,0,TURSO,2,OFPR,15,19,5,5
265902460,0,0,,,0,37,0,SALTO MARIN,2,SA2562,0,0,0,0
377265000,86,24,3,4,90,90,9199854,TOPAZ INSTALLER,1,J8B2641,16,70,5,19
248621000,128,20,6,9,89,89,9527623,MISSISSIPPI  STAR,1,9HA2441,101,27,17,3
230014910,18,5,,,50,50,0,MT 1310,1,OJ7605,16,2,3,2
265705100,11,4,,,51,51,0,RESCUE ORESUND,1,7SA2558,9,2,1,3
245281000,87,11,3,5,70,70,9356505,HEKLA,1,PHPD,78,9,6,5
276519000,193,29,6,7,60,69,9281281,VICTORIA 1,1,ESRP,28,165,14,15
